"location","target_end_date","reference_date","target","horizon","output_type","output_type_id","value"
"Central","2025-10-18","2025-10-18","wk inc covid hosp",0,"quantile",0.025,30.25
"Central","2025-10-18","2025-10-18","wk inc covid hosp",0,"quantile",0.1,35.25
"Central","2025-10-18","2025-10-18","wk inc covid hosp",0,"quantile",0.25,41.75
"Central","2025-10-18","2025-10-18","wk inc covid hosp",0,"quantile",0.5,45.25
"Central","2025-10-18","2025-10-18","wk inc covid hosp",0,"quantile",0.75,49
"Central","2025-10-18","2025-10-18","wk inc covid hosp",0,"quantile",0.9,55.25
"Central","2025-10-18","2025-10-18","wk inc covid hosp",0,"quantile",0.975,69.5
"Central","2025-10-18","2025-10-18","wk inc flu hosp",0,"quantile",0.025,1.25
"Central","2025-10-18","2025-10-18","wk inc flu hosp",0,"quantile",0.1,1.5
"Central","2025-10-18","2025-10-18","wk inc flu hosp",0,"quantile",0.25,2
"Central","2025-10-18","2025-10-18","wk inc flu hosp",0,"quantile",0.5,3
"Central","2025-10-18","2025-10-18","wk inc flu hosp",0,"quantile",0.75,3.5
"Central","2025-10-18","2025-10-18","wk inc flu hosp",0,"quantile",0.9,5.25
"Central","2025-10-18","2025-10-18","wk inc flu hosp",0,"quantile",0.975,11.25
"Central","2025-10-18","2025-10-18","wk inc rsv hosp",0,"quantile",0.025,1.5
"Central","2025-10-18","2025-10-18","wk inc rsv hosp",0,"quantile",0.1,1.75
"Central","2025-10-18","2025-10-18","wk inc rsv hosp",0,"quantile",0.25,2.5
"Central","2025-10-18","2025-10-18","wk inc rsv hosp",0,"quantile",0.5,2.75
"Central","2025-10-18","2025-10-18","wk inc rsv hosp",0,"quantile",0.75,3.5
"Central","2025-10-18","2025-10-18","wk inc rsv hosp",0,"quantile",0.9,4.75
"Central","2025-10-18","2025-10-18","wk inc rsv hosp",0,"quantile",0.975,7.25
"Central","2025-10-25","2025-10-18","wk inc covid hosp",1,"quantile",0.025,0
"Central","2025-10-25","2025-10-18","wk inc covid hosp",1,"quantile",0.1,12.75
"Central","2025-10-25","2025-10-18","wk inc covid hosp",1,"quantile",0.25,32.25
"Central","2025-10-25","2025-10-18","wk inc covid hosp",1,"quantile",0.5,44.25
"Central","2025-10-25","2025-10-18","wk inc covid hosp",1,"quantile",0.75,57
"Central","2025-10-25","2025-10-18","wk inc covid hosp",1,"quantile",0.9,79
"Central","2025-10-25","2025-10-18","wk inc covid hosp",1,"quantile",0.975,133.75
"Central","2025-10-25","2025-10-18","wk inc flu hosp",1,"quantile",0.025,0
"Central","2025-10-25","2025-10-18","wk inc flu hosp",1,"quantile",0.1,0
"Central","2025-10-25","2025-10-18","wk inc flu hosp",1,"quantile",0.25,1.25
"Central","2025-10-25","2025-10-18","wk inc flu hosp",1,"quantile",0.5,3.5
"Central","2025-10-25","2025-10-18","wk inc flu hosp",1,"quantile",0.75,6.25
"Central","2025-10-25","2025-10-18","wk inc flu hosp",1,"quantile",0.9,12.75
"Central","2025-10-25","2025-10-18","wk inc flu hosp",1,"quantile",0.975,30
"Central","2025-10-25","2025-10-18","wk inc rsv hosp",1,"quantile",0.025,0
"Central","2025-10-25","2025-10-18","wk inc rsv hosp",1,"quantile",0.1,0
"Central","2025-10-25","2025-10-18","wk inc rsv hosp",1,"quantile",0.25,1.5
"Central","2025-10-25","2025-10-18","wk inc rsv hosp",1,"quantile",0.5,3.25
"Central","2025-10-25","2025-10-18","wk inc rsv hosp",1,"quantile",0.75,5.25
"Central","2025-10-25","2025-10-18","wk inc rsv hosp",1,"quantile",0.9,8.75
"Central","2025-10-25","2025-10-18","wk inc rsv hosp",1,"quantile",0.975,19
"Central","2025-11-01","2025-10-18","wk inc covid hosp",2,"quantile",0.025,0
"Central","2025-11-01","2025-10-18","wk inc covid hosp",2,"quantile",0.1,1
"Central","2025-11-01","2025-10-18","wk inc covid hosp",2,"quantile",0.25,25.25
"Central","2025-11-01","2025-10-18","wk inc covid hosp",2,"quantile",0.5,44.75
"Central","2025-11-01","2025-10-18","wk inc covid hosp",2,"quantile",0.75,64.25
"Central","2025-11-01","2025-10-18","wk inc covid hosp",2,"quantile",0.9,102.75
"Central","2025-11-01","2025-10-18","wk inc covid hosp",2,"quantile",0.975,202
"Central","2025-11-01","2025-10-18","wk inc flu hosp",2,"quantile",0.025,0
"Central","2025-11-01","2025-10-18","wk inc flu hosp",2,"quantile",0.1,0
"Central","2025-11-01","2025-10-18","wk inc flu hosp",2,"quantile",0.25,1
"Central","2025-11-01","2025-10-18","wk inc flu hosp",2,"quantile",0.5,4.25
"Central","2025-11-01","2025-10-18","wk inc flu hosp",2,"quantile",0.75,9.25
"Central","2025-11-01","2025-10-18","wk inc flu hosp",2,"quantile",0.9,18.5
"Central","2025-11-01","2025-10-18","wk inc flu hosp",2,"quantile",0.975,46.5
"Central","2025-11-01","2025-10-18","wk inc rsv hosp",2,"quantile",0.025,0
"Central","2025-11-01","2025-10-18","wk inc rsv hosp",2,"quantile",0.1,0
"Central","2025-11-01","2025-10-18","wk inc rsv hosp",2,"quantile",0.25,1
"Central","2025-11-01","2025-10-18","wk inc rsv hosp",2,"quantile",0.5,3.75
"Central","2025-11-01","2025-10-18","wk inc rsv hosp",2,"quantile",0.75,7.25
"Central","2025-11-01","2025-10-18","wk inc rsv hosp",2,"quantile",0.9,12.25
"Central","2025-11-01","2025-10-18","wk inc rsv hosp",2,"quantile",0.975,28.5
"Central","2025-11-08","2025-10-18","wk inc covid hosp",3,"quantile",0.025,0
"Central","2025-11-08","2025-10-18","wk inc covid hosp",3,"quantile",0.1,0
"Central","2025-11-08","2025-10-18","wk inc covid hosp",3,"quantile",0.25,20.75
"Central","2025-11-08","2025-10-18","wk inc covid hosp",3,"quantile",0.5,47.5
"Central","2025-11-08","2025-10-18","wk inc covid hosp",3,"quantile",0.75,74.25
"Central","2025-11-08","2025-10-18","wk inc covid hosp",3,"quantile",0.9,124.75
"Central","2025-11-08","2025-10-18","wk inc covid hosp",3,"quantile",0.975,266.75
"Central","2025-11-08","2025-10-18","wk inc flu hosp",3,"quantile",0.025,0
"Central","2025-11-08","2025-10-18","wk inc flu hosp",3,"quantile",0.1,0
"Central","2025-11-08","2025-10-18","wk inc flu hosp",3,"quantile",0.25,0.75
"Central","2025-11-08","2025-10-18","wk inc flu hosp",3,"quantile",0.5,5
"Central","2025-11-08","2025-10-18","wk inc flu hosp",3,"quantile",0.75,12
"Central","2025-11-08","2025-10-18","wk inc flu hosp",3,"quantile",0.9,24
"Central","2025-11-08","2025-10-18","wk inc flu hosp",3,"quantile",0.975,62.25
"Central","2025-11-08","2025-10-18","wk inc rsv hosp",3,"quantile",0.025,0
"Central","2025-11-08","2025-10-18","wk inc rsv hosp",3,"quantile",0.1,0
"Central","2025-11-08","2025-10-18","wk inc rsv hosp",3,"quantile",0.25,1
"Central","2025-11-08","2025-10-18","wk inc rsv hosp",3,"quantile",0.5,4.5
"Central","2025-11-08","2025-10-18","wk inc rsv hosp",3,"quantile",0.75,9
"Central","2025-11-08","2025-10-18","wk inc rsv hosp",3,"quantile",0.9,15.75
"Central","2025-11-08","2025-10-18","wk inc rsv hosp",3,"quantile",0.975,36.5
