"location","target_end_date","reference_date","target","horizon","output_type","output_type_id","value"
"Central","2025-12-27","2026-01-03","wk inc covid hosp",-1,"quantile",0.025,20
"Central","2025-12-27","2026-01-03","wk inc covid hosp",-1,"quantile",0.1,29
"Central","2025-12-27","2026-01-03","wk inc covid hosp",-1,"quantile",0.25,34
"Central","2025-12-27","2026-01-03","wk inc covid hosp",-1,"quantile",0.5,48
"Central","2025-12-27","2026-01-03","wk inc covid hosp",-1,"quantile",0.75,58
"Central","2025-12-27","2026-01-03","wk inc covid hosp",-1,"quantile",0.9,79
"Central","2025-12-27","2026-01-03","wk inc covid hosp",-1,"quantile",0.975,120
"Central","2025-12-27","2026-01-03","wk inc flu hosp",-1,"quantile",0.025,23
"Central","2025-12-27","2026-01-03","wk inc flu hosp",-1,"quantile",0.1,73
"Central","2025-12-27","2026-01-03","wk inc flu hosp",-1,"quantile",0.25,87
"Central","2025-12-27","2026-01-03","wk inc flu hosp",-1,"quantile",0.5,96
"Central","2025-12-27","2026-01-03","wk inc flu hosp",-1,"quantile",0.75,98
"Central","2025-12-27","2026-01-03","wk inc flu hosp",-1,"quantile",0.9,113
"Central","2025-12-27","2026-01-03","wk inc flu hosp",-1,"quantile",0.975,143
"Central","2025-12-27","2026-01-03","wk inc rsv hosp",-1,"quantile",0.025,2
"Central","2025-12-27","2026-01-03","wk inc rsv hosp",-1,"quantile",0.1,8
"Central","2025-12-27","2026-01-03","wk inc rsv hosp",-1,"quantile",0.25,8
"Central","2025-12-27","2026-01-03","wk inc rsv hosp",-1,"quantile",0.5,9
"Central","2025-12-27","2026-01-03","wk inc rsv hosp",-1,"quantile",0.75,10
"Central","2025-12-27","2026-01-03","wk inc rsv hosp",-1,"quantile",0.9,11
"Central","2025-12-27","2026-01-03","wk inc rsv hosp",-1,"quantile",0.975,22
"Central","2026-01-03","2026-01-03","wk inc covid hosp",0,"quantile",0.025,25.2
"Central","2026-01-03","2026-01-03","wk inc covid hosp",0,"quantile",0.1,32.8
"Central","2026-01-03","2026-01-03","wk inc covid hosp",0,"quantile",0.25,38.8
"Central","2026-01-03","2026-01-03","wk inc covid hosp",0,"quantile",0.5,45.2
"Central","2026-01-03","2026-01-03","wk inc covid hosp",0,"quantile",0.75,49.6
"Central","2026-01-03","2026-01-03","wk inc covid hosp",0,"quantile",0.9,63.4
"Central","2026-01-03","2026-01-03","wk inc covid hosp",0,"quantile",0.975,88.2
"Central","2026-01-03","2026-01-03","wk inc flu hosp",0,"quantile",0.025,258.2
"Central","2026-01-03","2026-01-03","wk inc flu hosp",0,"quantile",0.1,273.2
"Central","2026-01-03","2026-01-03","wk inc flu hosp",0,"quantile",0.25,278.4
"Central","2026-01-03","2026-01-03","wk inc flu hosp",0,"quantile",0.5,282
"Central","2026-01-03","2026-01-03","wk inc flu hosp",0,"quantile",0.75,282.6
"Central","2026-01-03","2026-01-03","wk inc flu hosp",0,"quantile",0.9,287.6
"Central","2026-01-03","2026-01-03","wk inc flu hosp",0,"quantile",0.975,294.4
"Central","2026-01-03","2026-01-03","wk inc rsv hosp",0,"quantile",0.025,11.4
"Central","2026-01-03","2026-01-03","wk inc rsv hosp",0,"quantile",0.1,14.6
"Central","2026-01-03","2026-01-03","wk inc rsv hosp",0,"quantile",0.25,15.6
"Central","2026-01-03","2026-01-03","wk inc rsv hosp",0,"quantile",0.5,16.2
"Central","2026-01-03","2026-01-03","wk inc rsv hosp",0,"quantile",0.75,17
"Central","2026-01-03","2026-01-03","wk inc rsv hosp",0,"quantile",0.9,18.2
"Central","2026-01-03","2026-01-03","wk inc rsv hosp",0,"quantile",0.975,22.4
"Central","2026-01-10","2026-01-03","wk inc covid hosp",1,"quantile",0.025,0.2
"Central","2026-01-10","2026-01-03","wk inc covid hosp",1,"quantile",0.1,15
"Central","2026-01-10","2026-01-03","wk inc covid hosp",1,"quantile",0.25,31.8
"Central","2026-01-10","2026-01-03","wk inc covid hosp",1,"quantile",0.5,45.2
"Central","2026-01-10","2026-01-03","wk inc covid hosp",1,"quantile",0.75,57.6
"Central","2026-01-10","2026-01-03","wk inc covid hosp",1,"quantile",0.9,85
"Central","2026-01-10","2026-01-03","wk inc covid hosp",1,"quantile",0.975,137.2
"Central","2026-01-10","2026-01-03","wk inc flu hosp",1,"quantile",0.025,265
"Central","2026-01-10","2026-01-03","wk inc flu hosp",1,"quantile",0.1,284.6
"Central","2026-01-10","2026-01-03","wk inc flu hosp",1,"quantile",0.25,300.8
"Central","2026-01-10","2026-01-03","wk inc flu hosp",1,"quantile",0.5,306.2
"Central","2026-01-10","2026-01-03","wk inc flu hosp",1,"quantile",0.75,308.8
"Central","2026-01-10","2026-01-03","wk inc flu hosp",1,"quantile",0.9,317.8
"Central","2026-01-10","2026-01-03","wk inc flu hosp",1,"quantile",0.975,337
"Central","2026-01-10","2026-01-03","wk inc rsv hosp",1,"quantile",0.025,2.8
"Central","2026-01-10","2026-01-03","wk inc rsv hosp",1,"quantile",0.1,11.2
"Central","2026-01-10","2026-01-03","wk inc rsv hosp",1,"quantile",0.25,14.6
"Central","2026-01-10","2026-01-03","wk inc rsv hosp",1,"quantile",0.5,16.4
"Central","2026-01-10","2026-01-03","wk inc rsv hosp",1,"quantile",0.75,18.4
"Central","2026-01-10","2026-01-03","wk inc rsv hosp",1,"quantile",0.9,21.2
"Central","2026-01-10","2026-01-03","wk inc rsv hosp",1,"quantile",0.975,31.4
"Central","2026-01-17","2026-01-03","wk inc covid hosp",2,"quantile",0.025,0.2
"Central","2026-01-17","2026-01-03","wk inc covid hosp",2,"quantile",0.1,7.8
"Central","2026-01-17","2026-01-03","wk inc covid hosp",2,"quantile",0.25,27.8
"Central","2026-01-17","2026-01-03","wk inc covid hosp",2,"quantile",0.5,46.6
"Central","2026-01-17","2026-01-03","wk inc covid hosp",2,"quantile",0.75,64.6
"Central","2026-01-17","2026-01-03","wk inc covid hosp",2,"quantile",0.9,107
"Central","2026-01-17","2026-01-03","wk inc covid hosp",2,"quantile",0.975,193.2
