"location","target_end_date","reference_date","target","horizon","output_type","output_type_id","value"
"Central","2026-03-07","2026-03-14","wk inc covid hosp",-1,"quantile",0.025,23.25
"Central","2026-03-07","2026-03-14","wk inc covid hosp",-1,"quantile",0.1,27.75
"Central","2026-03-07","2026-03-14","wk inc covid hosp",-1,"quantile",0.25,30.75
"Central","2026-03-07","2026-03-14","wk inc covid hosp",-1,"quantile",0.5,34.5
"Central","2026-03-07","2026-03-14","wk inc covid hosp",-1,"quantile",0.75,38.25
"Central","2026-03-07","2026-03-14","wk inc covid hosp",-1,"quantile",0.9,41.5
"Central","2026-03-07","2026-03-14","wk inc covid hosp",-1,"quantile",0.975,45.25
"Central","2026-03-07","2026-03-14","wk inc flu hosp",-1,"quantile",0.025,4.5
"Central","2026-03-07","2026-03-14","wk inc flu hosp",-1,"quantile",0.1,4.5
"Central","2026-03-07","2026-03-14","wk inc flu hosp",-1,"quantile",0.25,4.75
"Central","2026-03-07","2026-03-14","wk inc flu hosp",-1,"quantile",0.5,19.5
"Central","2026-03-07","2026-03-14","wk inc flu hosp",-1,"quantile",0.75,42.5
"Central","2026-03-07","2026-03-14","wk inc flu hosp",-1,"quantile",0.9,60
"Central","2026-03-07","2026-03-14","wk inc flu hosp",-1,"quantile",0.975,76.5
"Central","2026-03-07","2026-03-14","wk inc rsv hosp",-1,"quantile",0.025,21.25
"Central","2026-03-07","2026-03-14","wk inc rsv hosp",-1,"quantile",0.1,22.5
"Central","2026-03-07","2026-03-14","wk inc rsv hosp",-1,"quantile",0.25,23.75
"Central","2026-03-07","2026-03-14","wk inc rsv hosp",-1,"quantile",0.5,33.75
"Central","2026-03-07","2026-03-14","wk inc rsv hosp",-1,"quantile",0.75,47
"Central","2026-03-07","2026-03-14","wk inc rsv hosp",-1,"quantile",0.9,53.75
"Central","2026-03-07","2026-03-14","wk inc rsv hosp",-1,"quantile",0.975,57.75
"Central","2026-03-14","2026-03-14","wk inc covid hosp",0,"quantile",0.025,23.625
"Central","2026-03-14","2026-03-14","wk inc covid hosp",0,"quantile",0.1,30
"Central","2026-03-14","2026-03-14","wk inc covid hosp",0,"quantile",0.25,36.5
"Central","2026-03-14","2026-03-14","wk inc covid hosp",0,"quantile",0.5,41.125
"Central","2026-03-14","2026-03-14","wk inc covid hosp",0,"quantile",0.75,45.625
"Central","2026-03-14","2026-03-14","wk inc covid hosp",0,"quantile",0.9,51.75
"Central","2026-03-14","2026-03-14","wk inc covid hosp",0,"quantile",0.975,62.375
"Central","2026-03-14","2026-03-14","wk inc flu hosp",0,"quantile",0.025,8.125
"Central","2026-03-14","2026-03-14","wk inc flu hosp",0,"quantile",0.1,10.25
"Central","2026-03-14","2026-03-14","wk inc flu hosp",0,"quantile",0.25,12
"Central","2026-03-14","2026-03-14","wk inc flu hosp",0,"quantile",0.5,17.875
"Central","2026-03-14","2026-03-14","wk inc flu hosp",0,"quantile",0.75,43.875
"Central","2026-03-14","2026-03-14","wk inc flu hosp",0,"quantile",0.9,70.125
"Central","2026-03-14","2026-03-14","wk inc flu hosp",0,"quantile",0.975,108.625
"Central","2026-03-14","2026-03-14","wk inc rsv hosp",0,"quantile",0.025,23.25
"Central","2026-03-14","2026-03-14","wk inc rsv hosp",0,"quantile",0.1,25.875
"Central","2026-03-14","2026-03-14","wk inc rsv hosp",0,"quantile",0.25,27.375
"Central","2026-03-14","2026-03-14","wk inc rsv hosp",0,"quantile",0.5,30.875
"Central","2026-03-14","2026-03-14","wk inc rsv hosp",0,"quantile",0.75,37.875
"Central","2026-03-14","2026-03-14","wk inc rsv hosp",0,"quantile",0.9,42.25
"Central","2026-03-14","2026-03-14","wk inc rsv hosp",0,"quantile",0.975,46
"Central","2026-03-21","2026-03-14","wk inc covid hosp",1,"quantile",0.025,4.875
"Central","2026-03-21","2026-03-14","wk inc covid hosp",1,"quantile",0.1,18.25
"Central","2026-03-21","2026-03-14","wk inc covid hosp",1,"quantile",0.25,31.5
"Central","2026-03-21","2026-03-14","wk inc covid hosp",1,"quantile",0.5,40.875
"Central","2026-03-21","2026-03-14","wk inc covid hosp",1,"quantile",0.75,49.875
"Central","2026-03-21","2026-03-14","wk inc covid hosp",1,"quantile",0.9,63.625
"Central","2026-03-21","2026-03-14","wk inc covid hosp",1,"quantile",0.975,93.125
"Central","2026-03-21","2026-03-14","wk inc flu hosp",1,"quantile",0.025,1.25
"Central","2026-03-21","2026-03-14","wk inc flu hosp",1,"quantile",0.1,7.125
"Central","2026-03-21","2026-03-14","wk inc flu hosp",1,"quantile",0.25,11.5
"Central","2026-03-21","2026-03-14","wk inc flu hosp",1,"quantile",0.5,20.125
"Central","2026-03-21","2026-03-14","wk inc flu hosp",1,"quantile",0.75,42.75
"Central","2026-03-21","2026-03-14","wk inc flu hosp",1,"quantile",0.9,66.375
"Central","2026-03-21","2026-03-14","wk inc flu hosp",1,"quantile",0.975,111.625
"Central","2026-03-21","2026-03-14","wk inc rsv hosp",1,"quantile",0.025,16.75
"Central","2026-03-21","2026-03-14","wk inc rsv hosp",1,"quantile",0.1,23
"Central","2026-03-21","2026-03-14","wk inc rsv hosp",1,"quantile",0.25,26
