"location","target_end_date","reference_date","target","horizon","output_type","output_type_id","value"
"Central","2026-02-14","2026-02-21","wk inc covid hosp",-1,"quantile",0.025,34.75
"Central","2026-02-14","2026-02-21","wk inc covid hosp",-1,"quantile",0.1,38.5
"Central","2026-02-14","2026-02-21","wk inc covid hosp",-1,"quantile",0.25,41.75
"Central","2026-02-14","2026-02-21","wk inc covid hosp",-1,"quantile",0.5,60.75
"Central","2026-02-14","2026-02-21","wk inc covid hosp",-1,"quantile",0.75,151.25
"Central","2026-02-14","2026-02-21","wk inc covid hosp",-1,"quantile",0.9,197
"Central","2026-02-14","2026-02-21","wk inc covid hosp",-1,"quantile",0.975,219.25
"Central","2026-02-14","2026-02-21","wk inc flu hosp",-1,"quantile",0.025,3
"Central","2026-02-14","2026-02-21","wk inc flu hosp",-1,"quantile",0.1,3.25
"Central","2026-02-14","2026-02-21","wk inc flu hosp",-1,"quantile",0.25,4.25
"Central","2026-02-14","2026-02-21","wk inc flu hosp",-1,"quantile",0.5,14
"Central","2026-02-14","2026-02-21","wk inc flu hosp",-1,"quantile",0.75,34.5
"Central","2026-02-14","2026-02-21","wk inc flu hosp",-1,"quantile",0.9,51.5
"Central","2026-02-14","2026-02-21","wk inc flu hosp",-1,"quantile",0.975,69.25
"Central","2026-02-14","2026-02-21","wk inc rsv hosp",-1,"quantile",0.025,18.5
"Central","2026-02-14","2026-02-21","wk inc rsv hosp",-1,"quantile",0.1,20.25
"Central","2026-02-14","2026-02-21","wk inc rsv hosp",-1,"quantile",0.25,22.25
"Central","2026-02-14","2026-02-21","wk inc rsv hosp",-1,"quantile",0.5,31
"Central","2026-02-14","2026-02-21","wk inc rsv hosp",-1,"quantile",0.75,39.5
"Central","2026-02-14","2026-02-21","wk inc rsv hosp",-1,"quantile",0.9,44.25
"Central","2026-02-14","2026-02-21","wk inc rsv hosp",-1,"quantile",0.975,47
"Central","2026-02-21","2026-02-21","wk inc covid hosp",0,"quantile",0.025,35.375
"Central","2026-02-21","2026-02-21","wk inc covid hosp",0,"quantile",0.1,42.875
