"reference_date","target","horizon","target_end_date","location","output_type","output_type_id","value"
2024-12-07,"wk inc covid hosp",-1,2024-11-30,"Central","quantile",0.025,77
2024-12-07,"wk inc covid hosp",0,2024-12-07,"Central","quantile",0.025,69
2024-12-07,"wk inc covid hosp",1,2024-12-14,"Central","quantile",0.025,60
2024-12-07,"wk inc covid hosp",2,2024-12-21,"Central","quantile",0.025,46
2024-12-07,"wk inc covid hosp",3,2024-12-28,"Central","quantile",0.025,23
2024-12-07,"wk inc covid hosp",-1,2024-11-30,"Central","quantile",0.1,77
2024-12-07,"wk inc covid hosp",0,2024-12-07,"Central","quantile",0.1,69
2024-12-07,"wk inc covid hosp",1,2024-12-14,"Central","quantile",0.1,60
2024-12-07,"wk inc covid hosp",2,2024-12-21,"Central","quantile",0.1,60
2024-12-07,"wk inc covid hosp",3,2024-12-28,"Central","quantile",0.1,61
2024-12-07,"wk inc covid hosp",-1,2024-11-30,"Central","quantile",0.25,77
2024-12-07,"wk inc covid hosp",0,2024-12-07,"Central","quantile",0.25,69
2024-12-07,"wk inc covid hosp",1,2024-12-14,"Central","quantile",0.25,60
2024-12-07,"wk inc covid hosp",2,2024-12-21,"Central","quantile",0.25,60
2024-12-07,"wk inc covid hosp",3,2024-12-28,"Central","quantile",0.25,61
2024-12-07,"wk inc covid hosp",-1,2024-11-30,"Central","quantile",0.5,77
2024-12-07,"wk inc covid hosp",0,2024-12-07,"Central","quantile",0.5,69
2024-12-07,"wk inc covid hosp",1,2024-12-14,"Central","quantile",0.5,60
2024-12-07,"wk inc covid hosp",2,2024-12-21,"Central","quantile",0.5,60
2024-12-07,"wk inc covid hosp",3,2024-12-28,"Central","quantile",0.5,61
2024-12-07,"wk inc covid hosp",-1,2024-11-30,"Central","quantile",0.75,109
2024-12-07,"wk inc covid hosp",0,2024-12-07,"Central","quantile",0.75,136
2024-12-07,"wk inc covid hosp",1,2024-12-14,"Central","quantile",0.75,126
2024-12-07,"wk inc covid hosp",2,2024-12-21,"Central","quantile",0.75,104
2024-12-07,"wk inc covid hosp",3,2024-12-28,"Central","quantile",0.75,99
2024-12-07,"wk inc covid hosp",-1,2024-11-30,"Central","quantile",0.9,118
2024-12-07,"wk inc covid hosp",0,2024-12-07,"Central","quantile",0.9,136
2024-12-07,"wk inc covid hosp",1,2024-12-14,"Central","quantile",0.9,126
2024-12-07,"wk inc covid hosp",2,2024-12-21,"Central","quantile",0.9,124
2024-12-07,"wk inc covid hosp",3,2024-12-28,"Central","quantile",0.9,144
