"location","horizon","reference_date","target_end_date","target","output_type_id","value","output_type"
"Central",0,2024-12-07,2024-12-07,"wk inc covid hosp","0.025",15,"quantile"
"Central",0,2024-12-07,2024-12-07,"wk inc covid hosp","0.1",67,"quantile"
"Central",0,2024-12-07,2024-12-07,"wk inc covid hosp","0.25",91,"quantile"
"Central",0,2024-12-07,2024-12-07,"wk inc covid hosp","0.5",107,"quantile"
"Central",0,2024-12-07,2024-12-07,"wk inc covid hosp","0.75",123,"quantile"
"Central",0,2024-12-07,2024-12-07,"wk inc covid hosp","0.9",147,"quantile"
"Central",0,2024-12-07,2024-12-07,"wk inc covid hosp","0.975",199,"quantile"
"Central",1,2024-12-07,2024-12-14,"wk inc covid hosp","0.025",0,"quantile"
"Central",1,2024-12-07,2024-12-14,"wk inc covid hosp","0.1",40,"quantile"
"Central",1,2024-12-07,2024-12-14,"wk inc covid hosp","0.25",77,"quantile"
"Central",1,2024-12-07,2024-12-14,"wk inc covid hosp","0.5",107,"quantile"
"Central",1,2024-12-07,2024-12-14,"wk inc covid hosp","0.75",137,"quantile"
"Central",1,2024-12-07,2024-12-14,"wk inc covid hosp","0.9",174,"quantile"
"Central",1,2024-12-07,2024-12-14,"wk inc covid hosp","0.975",245,"quantile"
"Central",2,2024-12-07,2024-12-21,"wk inc covid hosp","0.025",0,"quantile"
"Central",2,2024-12-07,2024-12-21,"wk inc covid hosp","0.1",22,"quantile"
"Central",2,2024-12-07,2024-12-21,"wk inc covid hosp","0.25",67,"quantile"
"Central",2,2024-12-07,2024-12-21,"wk inc covid hosp","0.5",107,"quantile"
"Central",2,2024-12-07,2024-12-21,"wk inc covid hosp","0.75",147,"quantile"
"Central",2,2024-12-07,2024-12-21,"wk inc covid hosp","0.9",193,"quantile"
"Central",2,2024-12-07,2024-12-21,"wk inc covid hosp","0.975",285,"quantile"
"Central",3,2024-12-07,2024-12-28,"wk inc covid hosp","0.025",0,"quantile"
"Central",3,2024-12-07,2024-12-28,"wk inc covid hosp","0.1",6,"quantile"
"Central",3,2024-12-07,2024-12-28,"wk inc covid hosp","0.25",59,"quantile"
"Central",3,2024-12-07,2024-12-28,"wk inc covid hosp","0.5",107,"quantile"
"Central",3,2024-12-07,2024-12-28,"wk inc covid hosp","0.75",156,"quantile"
"Central",3,2024-12-07,2024-12-28,"wk inc covid hosp","0.9",210,"quantile"
"Central",3,2024-12-07,2024-12-28,"wk inc covid hosp","0.975",309,"quantile"
"East",0,2024-12-07,2024-12-07,"wk inc covid hosp","0.025",88,"quantile"
"East",0,2024-12-07,2024-12-07,"wk inc covid hosp","0.1",119,"quantile"
"East",0,2024-12-07,2024-12-07,"wk inc covid hosp","0.25",139,"quantile"
"East",0,2024-12-07,2024-12-07,"wk inc covid hosp","0.5",151,"quantile"
"East",0,2024-12-07,2024-12-07,"wk inc covid hosp","0.75",163,"quantile"
"East",0,2024-12-07,2024-12-07,"wk inc covid hosp","0.9",183,"quantile"
"East",0,2024-12-07,2024-12-07,"wk inc covid hosp","0.975",214,"quantile"
"East",1,2024-12-07,2024-12-14,"wk inc covid hosp","0.025",57,"quantile"
"East",1,2024-12-07,2024-12-14,"wk inc covid hosp","0.1",101,"quantile"
"East",1,2024-12-07,2024-12-14,"wk inc covid hosp","0.25",129,"quantile"
"East",1,2024-12-07,2024-12-14,"wk inc covid hosp","0.5",151,"quantile"
"East",1,2024-12-07,2024-12-14,"wk inc covid hosp","0.75",173,"quantile"
"East",1,2024-12-07,2024-12-14,"wk inc covid hosp","0.9",201,"quantile"
"East",1,2024-12-07,2024-12-14,"wk inc covid hosp","0.975",244,"quantile"
"East",2,2024-12-07,2024-12-21,"wk inc covid hosp","0.025",30,"quantile"
"East",2,2024-12-07,2024-12-21,"wk inc covid hosp","0.1",88,"quantile"
"East",2,2024-12-07,2024-12-21,"wk inc covid hosp","0.25",122,"quantile"
"East",2,2024-12-07,2024-12-21,"wk inc covid hosp","0.5",151,"quantile"
"East",2,2024-12-07,2024-12-21,"wk inc covid hosp","0.75",180,"quantile"
"East",2,2024-12-07,2024-12-21,"wk inc covid hosp","0.9",214,"quantile"
"East",2,2024-12-07,2024-12-21,"wk inc covid hosp","0.975",272,"quantile"
"East",3,2024-12-07,2024-12-28,"wk inc covid hosp","0.025",11,"quantile"
"East",3,2024-12-07,2024-12-28,"wk inc covid hosp","0.1",76,"quantile"
"East",3,2024-12-07,2024-12-28,"wk inc covid hosp","0.25",115,"quantile"
"East",3,2024-12-07,2024-12-28,"wk inc covid hosp","0.5",151,"quantile"
"East",3,2024-12-07,2024-12-28,"wk inc covid hosp","0.75",187,"quantile"
"East",3,2024-12-07,2024-12-28,"wk inc covid hosp","0.9",226,"quantile"
"East",3,2024-12-07,2024-12-28,"wk inc covid hosp","0.975",293,"quantile"
"North East",0,2024-12-07,2024-12-07,"wk inc covid hosp","0.025",14,"quantile"
"North East",0,2024-12-07,2024-12-07,"wk inc covid hosp","0.1",28,"quantile"
"North East",0,2024-12-07,2024-12-07,"wk inc covid hosp","0.25",36,"quantile"
"North East",0,2024-12-07,2024-12-07,"wk inc covid hosp","0.5",41,"quantile"
"North East",0,2024-12-07,2024-12-07,"wk inc covid hosp","0.75",46,"quantile"
"North East",0,2024-12-07,2024-12-07,"wk inc covid hosp","0.9",54,"quantile"
"North East",0,2024-12-07,2024-12-07,"wk inc covid hosp","0.975",68,"quantile"
"North East",1,2024-12-07,2024-12-14,"wk inc covid hosp","0.025",7,"quantile"
"North East",1,2024-12-07,2024-12-14,"wk inc covid hosp","0.1",21,"quantile"
"North East",1,2024-12-07,2024-12-14,"wk inc covid hosp","0.25",32,"quantile"
"North East",1,2024-12-07,2024-12-14,"wk inc covid hosp","0.5",41,"quantile"
"North East",1,2024-12-07,2024-12-14,"wk inc covid hosp","0.75",50,"quantile"
"North East",1,2024-12-07,2024-12-14,"wk inc covid hosp","0.9",61,"quantile"
"North East",1,2024-12-07,2024-12-14,"wk inc covid hosp","0.975",75,"quantile"
"North East",2,2024-12-07,2024-12-21,"wk inc covid hosp","0.025",1,"quantile"
"North East",2,2024-12-07,2024-12-21,"wk inc covid hosp","0.1",16,"quantile"
