"location","target_end_date","output_type_id","value","reference_date","target","horizon","output_type"
"Central",2025-11-01,"0.025",0,2025-11-01,"wk inc covid hosp",0,"quantile"
"Central",2025-11-01,"0.1",0,2025-11-01,"wk inc covid hosp",0,"quantile"
"Central",2025-11-01,"0.25",21,2025-11-01,"wk inc covid hosp",0,"quantile"
"Central",2025-11-01,"0.5",33,2025-11-01,"wk inc covid hosp",0,"quantile"
"Central",2025-11-01,"0.75",45,2025-11-01,"wk inc covid hosp",0,"quantile"
"Central",2025-11-01,"0.9",69,2025-11-01,"wk inc covid hosp",0,"quantile"
"Central",2025-11-01,"0.975",114,2025-11-01,"wk inc covid hosp",0,"quantile"
"Central",2025-11-08,"0.025",0,2025-11-01,"wk inc covid hosp",1,"quantile"
"Central",2025-11-08,"0.1",0,2025-11-01,"wk inc covid hosp",1,"quantile"
"Central",2025-11-08,"0.25",11,2025-11-01,"wk inc covid hosp",1,"quantile"
"Central",2025-11-08,"0.5",33,2025-11-01,"wk inc covid hosp",1,"quantile"
"Central",2025-11-08,"0.75",57,2025-11-01,"wk inc covid hosp",1,"quantile"
"Central",2025-11-08,"0.9",90,2025-11-01,"wk inc covid hosp",1,"quantile"
"Central",2025-11-08,"0.975",149,2025-11-01,"wk inc covid hosp",1,"quantile"
"Central",2025-11-15,"0.025",0,2025-11-01,"wk inc covid hosp",2,"quantile"
"Central",2025-11-15,"0.1",0,2025-11-01,"wk inc covid hosp",2,"quantile"
"Central",2025-11-15,"0.25",3,2025-11-01,"wk inc covid hosp",2,"quantile"
"Central",2025-11-15,"0.5",33,2025-11-01,"wk inc covid hosp",2,"quantile"
"Central",2025-11-15,"0.75",66,2025-11-01,"wk inc covid hosp",2,"quantile"
"Central",2025-11-15,"0.9",106,2025-11-01,"wk inc covid hosp",2,"quantile"
"Central",2025-11-15,"0.975",189,2025-11-01,"wk inc covid hosp",2,"quantile"
"Central",2025-11-22,"0.025",0,2025-11-01,"wk inc covid hosp",3,"quantile"
"Central",2025-11-22,"0.1",0,2025-11-01,"wk inc covid hosp",3,"quantile"
"Central",2025-11-22,"0.25",0,2025-11-01,"wk inc covid hosp",3,"quantile"
"Central",2025-11-22,"0.5",33,2025-11-01,"wk inc covid hosp",3,"quantile"
