"location","horizon","reference_date","target_end_date","target","output_type_id","value","output_type"
"Central",0,2024-12-14,2024-12-14,"wk inc covid hosp","0.025",26,"quantile"
"Central",0,2024-12-14,2024-12-14,"wk inc covid hosp","0.1",77,"quantile"
"Central",0,2024-12-14,2024-12-14,"wk inc covid hosp","0.25",101,"quantile"
"Central",0,2024-12-14,2024-12-14,"wk inc covid hosp","0.5",117,"quantile"
"Central",0,2024-12-14,2024-12-14,"wk inc covid hosp","0.75",133,"quantile"
"Central",0,2024-12-14,2024-12-14,"wk inc covid hosp","0.9",157,"quantile"
"Central",0,2024-12-14,2024-12-14,"wk inc covid hosp","0.975",208,"quantile"
"Central",1,2024-12-14,2024-12-21,"wk inc covid hosp","0.025",0,"quantile"
"Central",1,2024-12-14,2024-12-21,"wk inc covid hosp","0.1",51,"quantile"
"Central",1,2024-12-14,2024-12-21,"wk inc covid hosp","0.25",87,"quantile"
"Central",1,2024-12-14,2024-12-21,"wk inc covid hosp","0.5",117,"quantile"
"Central",1,2024-12-14,2024-12-21,"wk inc covid hosp","0.75",147,"quantile"
"Central",1,2024-12-14,2024-12-21,"wk inc covid hosp","0.9",184,"quantile"
"Central",1,2024-12-14,2024-12-21,"wk inc covid hosp","0.975",255,"quantile"
"Central",2,2024-12-14,2024-12-28,"wk inc covid hosp","0.025",0,"quantile"
"Central",2,2024-12-14,2024-12-28,"wk inc covid hosp","0.1",33,"quantile"
"Central",2,2024-12-14,2024-12-28,"wk inc covid hosp","0.25",77,"quantile"
"Central",2,2024-12-14,2024-12-28,"wk inc covid hosp","0.5",117,"quantile"
"Central",2,2024-12-14,2024-12-28,"wk inc covid hosp","0.75",157,"quantile"
"Central",2,2024-12-14,2024-12-28,"wk inc covid hosp","0.9",203,"quantile"
"Central",2,2024-12-14,2024-12-28,"wk inc covid hosp","0.975",294,"quantile"
"Central",3,2024-12-14,2025-01-04,"wk inc covid hosp","0.025",0,"quantile"
"Central",3,2024-12-14,2025-01-04,"wk inc covid hosp","0.1",17,"quantile"
"Central",3,2024-12-14,2025-01-04,"wk inc covid hosp","0.25",69,"quantile"
"Central",3,2024-12-14,2025-01-04,"wk inc covid hosp","0.5",117,"quantile"
"Central",3,2024-12-14,2025-01-04,"wk inc covid hosp","0.75",165,"quantile"
"Central",3,2024-12-14,2025-01-04,"wk inc covid hosp","0.9",220,"quantile"
"Central",3,2024-12-14,2025-01-04,"wk inc covid hosp","0.975",318,"quantile"
"East",0,2024-12-14,2024-12-14,"wk inc covid hosp","0.025",68,"quantile"
"East",0,2024-12-14,2024-12-14,"wk inc covid hosp","0.1",99,"quantile"
"East",0,2024-12-14,2024-12-14,"wk inc covid hosp","0.25",119,"quantile"
"East",0,2024-12-14,2024-12-14,"wk inc covid hosp","0.5",131,"quantile"
"East",0,2024-12-14,2024-12-14,"wk inc covid hosp","0.75",143,"quantile"
"East",0,2024-12-14,2024-12-14,"wk inc covid hosp","0.9",163,"quantile"
"East",0,2024-12-14,2024-12-14,"wk inc covid hosp","0.975",194,"quantile"
"East",1,2024-12-14,2024-12-21,"wk inc covid hosp","0.025",38,"quantile"
"East",1,2024-12-14,2024-12-21,"wk inc covid hosp","0.1",81,"quantile"
"East",1,2024-12-14,2024-12-21,"wk inc covid hosp","0.25",109,"quantile"
"East",1,2024-12-14,2024-12-21,"wk inc covid hosp","0.5",131,"quantile"
"East",1,2024-12-14,2024-12-21,"wk inc covid hosp","0.75",153,"quantile"
"East",1,2024-12-14,2024-12-21,"wk inc covid hosp","0.9",181,"quantile"
"East",1,2024-12-14,2024-12-21,"wk inc covid hosp","0.975",225,"quantile"
"East",2,2024-12-14,2024-12-28,"wk inc covid hosp","0.025",13,"quantile"
"East",2,2024-12-14,2024-12-28,"wk inc covid hosp","0.1",68,"quantile"
"East",2,2024-12-14,2024-12-28,"wk inc covid hosp","0.25",102,"quantile"
"East",2,2024-12-14,2024-12-28,"wk inc covid hosp","0.5",131,"quantile"
"East",2,2024-12-14,2024-12-28,"wk inc covid hosp","0.75",161,"quantile"
"East",2,2024-12-14,2024-12-28,"wk inc covid hosp","0.9",194,"quantile"
"East",2,2024-12-14,2024-12-28,"wk inc covid hosp","0.975",252,"quantile"
"East",3,2024-12-14,2025-01-04,"wk inc covid hosp","0.025",0,"quantile"
"East",3,2024-12-14,2025-01-04,"wk inc covid hosp","0.1",56,"quantile"
"East",3,2024-12-14,2025-01-04,"wk inc covid hosp","0.25",95,"quantile"
"East",3,2024-12-14,2025-01-04,"wk inc covid hosp","0.5",131,"quantile"
"East",3,2024-12-14,2025-01-04,"wk inc covid hosp","0.75",167,"quantile"
"East",3,2024-12-14,2025-01-04,"wk inc covid hosp","0.9",206,"quantile"
"East",3,2024-12-14,2025-01-04,"wk inc covid hosp","0.975",274,"quantile"
"North East",0,2024-12-14,2024-12-14,"wk inc covid hosp","0.025",4,"quantile"
"North East",0,2024-12-14,2024-12-14,"wk inc covid hosp","0.1",18,"quantile"
"North East",0,2024-12-14,2024-12-14,"wk inc covid hosp","0.25",26,"quantile"
"North East",0,2024-12-14,2024-12-14,"wk inc covid hosp","0.5",31,"quantile"
"North East",0,2024-12-14,2024-12-14,"wk inc covid hosp","0.75",36,"quantile"
"North East",0,2024-12-14,2024-12-14,"wk inc covid hosp","0.9",44,"quantile"
"North East",0,2024-12-14,2024-12-14,"wk inc covid hosp","0.975",58,"quantile"
"North East",1,2024-12-14,2024-12-21,"wk inc covid hosp","0.025",0,"quantile"
"North East",1,2024-12-14,2024-12-21,"wk inc covid hosp","0.1",11,"quantile"
"North East",1,2024-12-14,2024-12-21,"wk inc covid hosp","0.25",22,"quantile"
"North East",1,2024-12-14,2024-12-21,"wk inc covid hosp","0.5",31,"quantile"
"North East",1,2024-12-14,2024-12-21,"wk inc covid hosp","0.75",40,"quantile"
"North East",1,2024-12-14,2024-12-21,"wk inc covid hosp","0.9",51,"quantile"
"North East",1,2024-12-14,2024-12-21,"wk inc covid hosp","0.975",65,"quantile"
"North East",2,2024-12-14,2024-12-28,"wk inc covid hosp","0.025",0,"quantile"
"North East",2,2024-12-14,2024-12-28,"wk inc covid hosp","0.1",6,"quantile"
"North East",2,2024-12-14,2024-12-28,"wk inc covid hosp","0.25",19,"quantile"
"North East",2,2024-12-14,2024-12-28,"wk inc covid hosp","0.5",31,"quantile"
"North East",2,2024-12-14,2024-12-28,"wk inc covid hosp","0.75",43,"quantile"
"North East",2,2024-12-14,2024-12-28,"wk inc covid hosp","0.9",56,"quantile"
"North East",2,2024-12-14,2024-12-28,"wk inc covid hosp","0.975",72,"quantile"
"North East",3,2024-12-14,2025-01-04,"wk inc covid hosp","0.025",0,"quantile"
"North East",3,2024-12-14,2025-01-04,"wk inc covid hosp","0.1",3,"quantile"
"North East",3,2024-12-14,2025-01-04,"wk inc covid hosp","0.25",17,"quantile"
"North East",3,2024-12-14,2025-01-04,"wk inc covid hosp","0.5",31,"quantile"
"North East",3,2024-12-14,2025-01-04,"wk inc covid hosp","0.75",45,"quantile"
"North East",3,2024-12-14,2025-01-04,"wk inc covid hosp","0.9",60,"quantile"
"North East",3,2024-12-14,2025-01-04,"wk inc covid hosp","0.975",77,"quantile"
"North West",0,2024-12-14,2024-12-14,"wk inc covid hosp","0.025",0,"quantile"
"North West",0,2024-12-14,2024-12-14,"wk inc covid hosp","0.1",5,"quantile"
"North West",0,2024-12-14,2024-12-14,"wk inc covid hosp","0.25",9,"quantile"
"North West",0,2024-12-14,2024-12-14,"wk inc covid hosp","0.5",12,"quantile"
"North West",0,2024-12-14,2024-12-14,"wk inc covid hosp","0.75",15,"quantile"
"North West",0,2024-12-14,2024-12-14,"wk inc covid hosp","0.9",19,"quantile"
"North West",0,2024-12-14,2024-12-14,"wk inc covid hosp","0.975",29,"quantile"
"North West",1,2024-12-14,2024-12-21,"wk inc covid hosp","0.025",0,"quantile"
"North West",1,2024-12-14,2024-12-21,"wk inc covid hosp","0.1",1,"quantile"
"North West",1,2024-12-14,2024-12-21,"wk inc covid hosp","0.25",7,"quantile"
"North West",1,2024-12-14,2024-12-21,"wk inc covid hosp","0.5",12,"quantile"
"North West",1,2024-12-14,2024-12-21,"wk inc covid hosp","0.75",17,"quantile"
"North West",1,2024-12-14,2024-12-21,"wk inc covid hosp","0.9",23,"quantile"
"North West",1,2024-12-14,2024-12-21,"wk inc covid hosp","0.975",34,"quantile"
"North West",2,2024-12-14,2024-12-28,"wk inc covid hosp","0.025",0,"quantile"
"North West",2,2024-12-14,2024-12-28,"wk inc covid hosp","0.1",0,"quantile"
"North West",2,2024-12-14,2024-12-28,"wk inc covid hosp","0.25",5,"quantile"
"North West",2,2024-12-14,2024-12-28,"wk inc covid hosp","0.5",12,"quantile"
"North West",2,2024-12-14,2024-12-28,"wk inc covid hosp","0.75",19,"quantile"
"North West",2,2024-12-14,2024-12-28,"wk inc covid hosp","0.9",27,"quantile"
"North West",2,2024-12-14,2024-12-28,"wk inc covid hosp","0.975",37,"quantile"
"North West",3,2024-12-14,2025-01-04,"wk inc covid hosp","0.025",0,"quantile"
"North West",3,2024-12-14,2025-01-04,"wk inc covid hosp","0.1",0,"quantile"
"North West",3,2024-12-14,2025-01-04,"wk inc covid hosp","0.25",4,"quantile"
"North West",3,2024-12-14,2025-01-04,"wk inc covid hosp","0.5",12,"quantile"
"North West",3,2024-12-14,2025-01-04,"wk inc covid hosp","0.75",20,"quantile"
"North West",3,2024-12-14,2025-01-04,"wk inc covid hosp","0.9",29,"quantile"
"North West",3,2024-12-14,2025-01-04,"wk inc covid hosp","0.975",41,"quantile"
"Ontario",0,2024-12-14,2024-12-14,"wk inc covid hosp","0.025",261,"quantile"
"Ontario",0,2024-12-14,2024-12-14,"wk inc covid hosp","0.1",428,"quantile"
"Ontario",0,2024-12-14,2024-12-14,"wk inc covid hosp","0.25",540,"quantile"
"Ontario",0,2024-12-14,2024-12-14,"wk inc covid hosp","0.5",603,"quantile"
"Ontario",0,2024-12-14,2024-12-14,"wk inc covid hosp","0.75",666,"quantile"
"Ontario",0,2024-12-14,2024-12-14,"wk inc covid hosp","0.9",778,"quantile"
"Ontario",0,2024-12-14,2024-12-14,"wk inc covid hosp","0.975",945,"quantile"
"Ontario",1,2024-12-14,2024-12-21,"wk inc covid hosp","0.025",85,"quantile"
"Ontario",1,2024-12-14,2024-12-21,"wk inc covid hosp","0.1",336,"quantile"
"Ontario",1,2024-12-14,2024-12-21,"wk inc covid hosp","0.25",491,"quantile"
"Ontario",1,2024-12-14,2024-12-21,"wk inc covid hosp","0.5",603,"quantile"
"Ontario",1,2024-12-14,2024-12-21,"wk inc covid hosp","0.75",714,"quantile"
"Ontario",1,2024-12-14,2024-12-21,"wk inc covid hosp","0.9",868,"quantile"
"Ontario",1,2024-12-14,2024-12-21,"wk inc covid hosp","0.975",1136,"quantile"
