"location","horizon","reference_date","target_end_date","target","output_type_id","value","output_type"
"Central",0,2025-01-18,2025-01-18,"wk inc covid hosp","0.025",138,"quantile"
"Central",0,2025-01-18,2025-01-18,"wk inc covid hosp","0.975",318,"quantile"
"Central",1,2025-01-18,2025-01-25,"wk inc covid hosp","0.025",93,"quantile"
"Central",1,2025-01-18,2025-01-25,"wk inc covid hosp","0.975",365,"quantile"
"Central",2,2025-01-18,2025-02-01,"wk inc covid hosp","0.025",52,"quantile"
"Central",2,2025-01-18,2025-02-01,"wk inc covid hosp","0.975",406,"quantile"
"Central",3,2025-01-18,2025-02-08,"wk inc covid hosp","0.025",29,"quantile"
"Central",3,2025-01-18,2025-02-08,"wk inc covid hosp","0.975",429,"quantile"
"East",0,2025-01-18,2025-01-18,"wk inc covid hosp","0.025",169,"quantile"
"East",0,2025-01-18,2025-01-18,"wk inc covid hosp","0.975",299,"quantile"
"East",1,2025-01-18,2025-01-25,"wk inc covid hosp","0.025",140,"quantile"
"East",1,2025-01-18,2025-01-25,"wk inc covid hosp","0.975",328,"quantile"
"East",2,2025-01-18,2025-02-01,"wk inc covid hosp","0.025",113,"quantile"
"East",2,2025-01-18,2025-02-01,"wk inc covid hosp","0.975",356,"quantile"
"East",3,2025-01-18,2025-02-08,"wk inc covid hosp","0.025",92,"quantile"
"East",3,2025-01-18,2025-02-08,"wk inc covid hosp","0.975",375,"quantile"
"North East",0,2025-01-18,2025-01-18,"wk inc covid hosp","0.025",11,"quantile"
"North East",0,2025-01-18,2025-01-18,"wk inc covid hosp","0.975",65,"quantile"
"North East",1,2025-01-18,2025-01-25,"wk inc covid hosp","0.025",5,"quantile"
"North East",1,2025-01-18,2025-01-25,"wk inc covid hosp","0.975",72,"quantile"
"North East",2,2025-01-18,2025-02-01,"wk inc covid hosp","0.025",0,"quantile"
"North East",2,2025-01-18,2025-02-01,"wk inc covid hosp","0.975",78,"quantile"
"North East",3,2025-01-18,2025-02-08,"wk inc covid hosp","0.025",0,"quantile"
"North East",3,2025-01-18,2025-02-08,"wk inc covid hosp","0.975",84,"quantile"
"North West",0,2025-01-18,2025-01-18,"wk inc covid hosp","0.025",11,"quantile"
"North West",0,2025-01-18,2025-01-18,"wk inc covid hosp","0.975",45,"quantile"
"North West",1,2025-01-18,2025-01-25,"wk inc covid hosp","0.025",6,"quantile"
"North West",1,2025-01-18,2025-01-25,"wk inc covid hosp","0.975",50,"quantile"
"North West",2,2025-01-18,2025-02-01,"wk inc covid hosp","0.025",3,"quantile"
"North West",2,2025-01-18,2025-02-01,"wk inc covid hosp","0.975",54,"quantile"
"North West",3,2025-01-18,2025-02-08,"wk inc covid hosp","0.025",0,"quantile"
"North West",3,2025-01-18,2025-02-08,"wk inc covid hosp","0.975",57,"quantile"
"Ontario",0,2025-01-18,2025-01-18,"wk inc covid hosp","0.025",684,"quantile"
"Ontario",0,2025-01-18,2025-01-18,"wk inc covid hosp","0.975",1358,"quantile"
"Ontario",1,2025-01-18,2025-01-25,"wk inc covid hosp","0.025",492,"quantile"
"Ontario",1,2025-01-18,2025-01-25,"wk inc covid hosp","0.975",1545,"quantile"
"Ontario",2,2025-01-18,2025-02-01,"wk inc covid hosp","0.025",326,"quantile"
"Ontario",2,2025-01-18,2025-02-01,"wk inc covid hosp","0.975",1718,"quantile"
"Ontario",3,2025-01-18,2025-02-08,"wk inc covid hosp","0.025",207,"quantile"
"Ontario",3,2025-01-18,2025-02-08,"wk inc covid hosp","0.975",1849,"quantile"
"Toronto",0,2025-01-18,2025-01-18,"wk inc covid hosp","0.025",95,"quantile"
