"location","target_end_date","output_type_id","value","reference_date","target","horizon","output_type"
"Central",2025-10-11,"0.025",41,2025-10-11,"wk inc covid hosp",0,"quantile"
"Central",2025-10-11,"0.1",54,2025-10-11,"wk inc covid hosp",0,"quantile"
"Central",2025-10-11,"0.25",56,2025-10-11,"wk inc covid hosp",0,"quantile"
"Central",2025-10-11,"0.5",57,2025-10-11,"wk inc covid hosp",0,"quantile"
"Central",2025-10-11,"0.75",58,2025-10-11,"wk inc covid hosp",0,"quantile"
"Central",2025-10-11,"0.9",61,2025-10-11,"wk inc covid hosp",0,"quantile"
"Central",2025-10-11,"0.975",73,2025-10-11,"wk inc covid hosp",0,"quantile"
"East",2025-10-11,"0.025",44,2025-10-11,"wk inc covid hosp",0,"quantile"
"East",2025-10-11,"0.1",56,2025-10-11,"wk inc covid hosp",0,"quantile"
"East",2025-10-11,"0.25",58,2025-10-11,"wk inc covid hosp",0,"quantile"
"East",2025-10-11,"0.5",59,2025-10-11,"wk inc covid hosp",0,"quantile"
"East",2025-10-11,"0.75",61,2025-10-11,"wk inc covid hosp",0,"quantile"
"East",2025-10-11,"0.9",63,2025-10-11,"wk inc covid hosp",0,"quantile"
"East",2025-10-11,"0.975",75,2025-10-11,"wk inc covid hosp",0,"quantile"
"North East",2025-10-11,"0.025",0,2025-10-11,"wk inc covid hosp",0,"quantile"
"North East",2025-10-11,"0.1",6,2025-10-11,"wk inc covid hosp",0,"quantile"
"North East",2025-10-11,"0.25",9,2025-10-11,"wk inc covid hosp",0,"quantile"
"North East",2025-10-11,"0.5",10,2025-10-11,"wk inc covid hosp",0,"quantile"
"North East",2025-10-11,"0.75",11,2025-10-11,"wk inc covid hosp",0,"quantile"
"North East",2025-10-11,"0.9",13,2025-10-11,"wk inc covid hosp",0,"quantile"
"North East",2025-10-11,"0.975",26,2025-10-11,"wk inc covid hosp",0,"quantile"
"North West",2025-10-11,"0.025",0,2025-10-11,"wk inc covid hosp",0,"quantile"
"North West",2025-10-11,"0.1",0,2025-10-11,"wk inc covid hosp",0,"quantile"
"North West",2025-10-11,"0.25",1,2025-10-11,"wk inc covid hosp",0,"quantile"
"North West",2025-10-11,"0.5",2,2025-10-11,"wk inc covid hosp",0,"quantile"
"North West",2025-10-11,"0.75",4,2025-10-11,"wk inc covid hosp",0,"quantile"
"North West",2025-10-11,"0.9",6,2025-10-11,"wk inc covid hosp",0,"quantile"
"North West",2025-10-11,"0.975",18,2025-10-11,"wk inc covid hosp",0,"quantile"
"Ontario",2025-10-11,"0.025",239,2025-10-11,"wk inc covid hosp",0,"quantile"
"Ontario",2025-10-11,"0.1",251,2025-10-11,"wk inc covid hosp",0,"quantile"
"Ontario",2025-10-11,"0.25",253,2025-10-11,"wk inc covid hosp",0,"quantile"
"Ontario",2025-10-11,"0.5",254,2025-10-11,"wk inc covid hosp",0,"quantile"
"Ontario",2025-10-11,"0.75",256,2025-10-11,"wk inc covid hosp",0,"quantile"
"Ontario",2025-10-11,"0.9",258,2025-10-11,"wk inc covid hosp",0,"quantile"
"Ontario",2025-10-11,"0.975",270,2025-10-11,"wk inc covid hosp",0,"quantile"
"Toronto",2025-10-11,"0.025",34,2025-10-11,"wk inc covid hosp",0,"quantile"
"Toronto",2025-10-11,"0.1",46,2025-10-11,"wk inc covid hosp",0,"quantile"
"Toronto",2025-10-11,"0.25",49,2025-10-11,"wk inc covid hosp",0,"quantile"
"Toronto",2025-10-11,"0.5",50,2025-10-11,"wk inc covid hosp",0,"quantile"
"Toronto",2025-10-11,"0.75",51,2025-10-11,"wk inc covid hosp",0,"quantile"
"Toronto",2025-10-11,"0.9",54,2025-10-11,"wk inc covid hosp",0,"quantile"
"Toronto",2025-10-11,"0.975",66,2025-10-11,"wk inc covid hosp",0,"quantile"
"West",2025-10-11,"0.025",54,2025-10-11,"wk inc covid hosp",0,"quantile"
"West",2025-10-11,"0.1",67,2025-10-11,"wk inc covid hosp",0,"quantile"
"West",2025-10-11,"0.25",69,2025-10-11,"wk inc covid hosp",0,"quantile"
"West",2025-10-11,"0.5",70,2025-10-11,"wk inc covid hosp",0,"quantile"
