time,geo_value,geo_type,covid,Season,flu,rsv
2024-06-22,East,OH Region,79,2023-2024,1,0
2024-06-22,North East,OH Region,22,2023-2024,1,0
2024-06-22,North West,OH Region,4,2023-2024,0,0
2024-06-22,Ontario,Province,330,2023-2024,47,19
2024-06-22,Toronto,OH Region,85,2023-2024,12,4
2024-06-22,West,OH Region,59,2023-2024,30,13
2024-06-15,Central,OH Region,78,2023-2024,3,2
2024-06-15,East,OH Region,70,2023-2024,2,2
2024-06-15,North East,OH Region,17,2023-2024,0,0
2024-06-15,North West,OH Region,5,2023-2024,0,0
2024-06-15,Ontario,Province,315,2023-2024,43,21
2024-06-15,Toronto,OH Region,74,2023-2024,10,4
2024-06-15,West,OH Region,69,2023-2024,28,13
2024-06-08,Central,OH Region,92,2023-2024,3,1
2024-06-08,East,OH Region,75,2023-2024,2,2
2024-06-08,North East,OH Region,22,2023-2024,1,0
2024-06-08,North West,OH Region,9,2023-2024,0,0
2024-06-08,Ontario,Province,350,2023-2024,44,18
2024-06-08,Toronto,OH Region,92,2023-2024,10,3
2024-06-08,West,OH Region,58,2023-2024,27,12
2024-06-01,Central,OH Region,106,2023-2024,4,1
2024-06-01,East,OH Region,64,2023-2024,2,2
2024-06-01,North East,OH Region,30,2023-2024,0,0
2024-06-01,North West,OH Region,8,2023-2024,2,0
2024-06-01,Ontario,Province,350,2023-2024,46,16
2024-06-01,Toronto,OH Region,93,2023-2024,12,3
2024-06-01,West,OH Region,49,2023-2024,26,8
2024-05-25,Central,OH Region,110,2023-2024,7,1
2024-05-25,East,OH Region,83,2023-2024,3,1
2024-05-25,North East,OH Region,31,2023-2024,0,0
2024-05-25,North West,OH Region,14,2023-2024,3,0
2024-05-25,Ontario,Province,428,2023-2024,58,17
2024-05-25,Toronto,OH Region,123,2023-2024,15,4
2024-05-25,West,OH Region,66,2023-2024,30,10
2024-05-18,Central,OH Region,104,2023-2024,7,2
2024-05-18,East,OH Region,72,2023-2024,7,1
2024-05-18,North East,OH Region,44,2023-2024,1,0
2024-05-18,North West,OH Region,11,2023-2024,4,0
2024-05-18,Ontario,Province,397,2023-2024,64,20
2024-05-18,Toronto,OH Region,107,2023-2024,15,3
2024-05-18,West,OH Region,58,2023-2024,31,13
2024-05-11,Central,OH Region,88,2023-2024,12,1
2024-05-11,East,OH Region,68,2023-2024,8,2
2024-05-11,North East,OH Region,32,2023-2024,0,1
2024-05-11,North West,OH Region,10,2023-2024,3,0
2024-05-11,Ontario,Province,375,2023-2024,73,24
2024-05-11,Toronto,OH Region,118,2023-2024,17,4
2024-05-11,West,OH Region,53,2023-2024,31,15
2024-05-04,Central,OH Region,90,2023-2024,15,2
2024-05-04,East,OH Region,66,2023-2024,12,4
2024-05-04,North East,OH Region,21,2023-2024,2,0
2024-05-04,North West,OH Region,9,2023-2024,5,0
2024-05-04,Ontario,Province,339,2023-2024,89,29
2024-05-04,Toronto,OH Region,94,2023-2024,19,5
2024-05-04,West,OH Region,58,2023-2024,37,16
2024-04-27,Central,OH Region,79,2023-2024,22,2
2024-04-27,East,OH Region,47,2023-2024,17,6
2024-04-27,North East,OH Region,19,2023-2024,2,0
2024-04-27,North West,OH Region,5,2023-2024,2,0
2024-04-27,Ontario,Province,263,2023-2024,104,38
2024-04-27,Toronto,OH Region,61,2023-2024,19,6
2024-04-27,West,OH Region,54,2023-2024,42,22
2024-04-20,Central,OH Region,92,2023-2024,26,5
2024-04-20,East,OH Region,49,2023-2024,28,5
2024-04-20,North East,OH Region,17,2023-2024,1,0
2024-04-20,North West,OH Region,7,2023-2024,5,0
2024-04-20,Ontario,Province,270,2023-2024,130,42
2024-04-20,Toronto,OH Region,49,2023-2024,24,10
2024-04-20,West,OH Region,58,2023-2024,47,21
2024-04-13,Central,OH Region,89,2023-2024,25,9
2024-04-13,East,OH Region,56,2023-2024,35,7
2024-04-13,North East,OH Region,14,2023-2024,5,1
2024-04-13,North West,OH Region,12,2023-2024,6,0
2024-04-13,Ontario,Province,286,2023-2024,148,49
2024-04-13,Toronto,OH Region,49,2023-2024,23,6
2024-04-13,West,OH Region,65,2023-2024,55,25
2024-04-06,Central,OH Region,58,2023-2024,25,6
2024-04-06,East,OH Region,54,2023-2024,34,6
2024-04-06,North East,OH Region,12,2023-2024,4,4
2024-04-06,North West,OH Region,9,2023-2024,3,0
2024-04-06,Ontario,Province,254,2023-2024,173,58
2024-04-06,Toronto,OH Region,47,2023-2024,29,19
2024-04-06,West,OH Region,72,2023-2024,75,23
2024-03-30,Central,OH Region,38,2023-2024,29,9
2024-03-30,East,OH Region,53,2023-2024,42,4
2024-03-30,North East,OH Region,12,2023-2024,10,3
2024-03-30,North West,OH Region,15,2023-2024,3,2
2024-03-30,Ontario,Province,249,2023-2024,200,53
2024-03-30,Toronto,OH Region,49,2023-2024,33,16
2024-03-30,West,OH Region,82,2023-2024,86,19
2024-03-23,Central,OH Region,54,2023-2024,29,7
2024-03-23,East,OH Region,64,2023-2024,39,6
2024-03-23,North East,OH Region,21,2023-2024,11,2
2024-03-23,North West,OH Region,12,2023-2024,1,1
2024-03-23,Ontario,Province,281,2023-2024,199,50
2024-03-23,Toronto,OH Region,53,2023-2024,31,14
2024-03-23,West,OH Region,77,2023-2024,85,21
2024-03-16,Central,OH Region,53,2023-2024,35,7
2024-03-16,East,OH Region,74,2023-2024,47,9
2024-03-16,North East,OH Region,28,2023-2024,7,3
2024-03-16,North West,OH Region,9,2023-2024,1,0
2024-03-16,Ontario,Province,299,2023-2024,212,58
2024-03-16,Toronto,OH Region,44,2023-2024,33,14
2024-03-16,West,OH Region,90,2023-2024,88,24
2024-03-09,Central,OH Region,52,2023-2024,45,9
2024-03-09,East,OH Region,109,2023-2024,49,8
2024-03-09,North East,OH Region,41,2023-2024,11,1
2024-03-09,North West,OH Region,10,2023-2024,3,2
2024-03-09,Ontario,Province,373,2023-2024,244,63
2024-03-09,Toronto,OH Region,46,2023-2024,38,10
2024-03-09,West,OH Region,116,2023-2024,101,32
2024-03-02,Central,OH Region,62,2023-2024,45,14
2024-03-02,East,OH Region,112,2023-2024,45,12
2024-03-02,North East,OH Region,49,2023-2024,10,5
2024-03-02,North West,OH Region,11,2023-2024,1,2
2024-03-02,Ontario,Province,428,2023-2024,238,79
2024-03-02,Toronto,OH Region,58,2023-2024,41,9
2024-03-02,West,OH Region,130,2023-2024,98,35
2024-02-24,Central,OH Region,81,2023-2024,51,18
2024-02-24,East,OH Region,109,2023-2024,51,10
2024-02-24,North East,OH Region,51,2023-2024,6,7
2024-02-24,North West,OH Region,6,2023-2024,1,0
2024-02-24,Ontario,Province,483,2023-2024,247,83
2024-02-24,Toronto,OH Region,89,2023-2024,44,4
2024-02-24,West,OH Region,147,2023-2024,92,43
2024-02-17,Central,OH Region,93,2023-2024,55,23
2024-02-17,East,OH Region,119,2023-2024,51,10
2024-02-17,North East,OH Region,49,2023-2024,11,9
2024-02-17,North West,OH Region,7,2023-2024,0,4
2024-02-17,Ontario,Province,526,2023-2024,268,98
2024-02-17,Toronto,OH Region,103,2023-2024,59,8
2024-02-17,West,OH Region,154,2023-2024,91,46
2024-02-10,Central,OH Region,123,2023-2024,60,18
2024-02-10,East,OH Region,135,2023-2024,51,14
2024-02-10,North East,OH Region,60,2023-2024,18,7
2024-02-10,North West,OH Region,7,2023-2024,1,3
2024-02-10,Ontario,Province,616,2023-2024,292,102
2024-02-10,Toronto,OH Region,113,2023-2024,62,10
2024-02-10,West,OH Region,175,2023-2024,98,50
2024-02-03,Central,OH Region,141,2023-2024,71,18
2024-02-03,East,OH Region,145,2023-2024,67,13
2024-02-03,North East,OH Region,63,2023-2024,12,7
2024-02-03,North West,OH Region,9,2023-2024,2,1
2024-02-03,Ontario,Province,715,2023-2024,337,101
2024-02-03,Toronto,OH Region,150,2023-2024,79,14
2024-02-03,West,OH Region,205,2023-2024,104,47
2024-01-27,Central,OH Region,167,2023-2024,56,24
2024-01-27,East,OH Region,151,2023-2024,64,14
2024-01-27,North East,OH Region,50,2023-2024,17,7
2024-01-27,North West,OH Region,16,2023-2024,2,2
2024-01-27,Ontario,Province,815,2023-2024,333,106
2024-01-27,Toronto,OH Region,178,2023-2024,85,18
2024-01-27,West,OH Region,248,2023-2024,106,41
2024-01-20,Central,OH Region,236,2023-2024,88,37
2024-01-20,East,OH Region,237,2023-2024,74,20
2024-01-20,North East,OH Region,67,2023-2024,20,11
2024-01-20,North West,OH Region,22,2023-2024,2,2
2024-01-20,Ontario,Province,1088,2023-2024,404,148
2024-01-20,Toronto,OH Region,236,2023-2024,91,22
2024-01-20,West,OH Region,289,2023-2024,127,56
2024-01-13,Central,OH Region,317,2023-2024,115,39
2024-01-13,East,OH Region,271,2023-2024,92,21
2024-01-13,North East,OH Region,83,2023-2024,20,21
2024-01-13,North West,OH Region,14,2023-2024,9,3
2024-01-13,Ontario,Province,1408,2023-2024,499,174
2024-01-13,Toronto,OH Region,320,2023-2024,104,26
2024-01-13,West,OH Region,399,2023-2024,158,62
2024-01-06,Central,OH Region,371,2023-2024,128,33
2024-01-06,East,OH Region,303,2023-2024,93,39
2024-01-06,North East,OH Region,100,2023-2024,27,22
2024-01-06,North West,OH Region,17,2023-2024,11,6
2024-01-06,Ontario,Province,1589,2023-2024,551,205
2024-01-06,Toronto,OH Region,359,2023-2024,114,33
2024-01-06,West,OH Region,433,2023-2024,174,72
2023-12-30,Central,OH Region,322,2023-2024,106,36
2023-12-30,East,OH Region,302,2023-2024,71,37
2023-12-30,North East,OH Region,84,2023-2024,27,17
2023-12-30,North West,OH Region,14,2023-2024,13,6
2023-12-30,Ontario,Province,1499,2023-2024,451,198
2023-12-30,Toronto,OH Region,387,2023-2024,107,30
2023-12-30,West,OH Region,383,2023-2024,127,70
2023-12-23,Central,OH Region,316,2023-2024,68,38
2023-12-23,East,OH Region,307,2023-2024,63,41
2023-12-23,North East,OH Region,87,2023-2024,23,14
2023-12-23,North West,OH Region,17,2023-2024,9,5
2023-12-23,Ontario,Province,1485,2023-2024,310,217
2023-12-23,Toronto,OH Region,394,2023-2024,75,41
2023-12-23,West,OH Region,371,2023-2024,72,80
2023-12-16,Central,OH Region,301,2023-2024,57,44
2023-12-16,East,OH Region,352,2023-2024,49,40
2023-12-16,North East,OH Region,104,2023-2024,13,13
2023-12-16,North West,OH Region,17,2023-2024,4,3
2023-12-16,Ontario,Province,1559,2023-2024,233,225
2023-12-16,Toronto,OH Region,382,2023-2024,55,48
2023-12-16,West,OH Region,388,2023-2024,51,77
2023-12-09,Central,OH Region,286,2023-2024,35,54
2023-12-09,East,OH Region,355,2023-2024,30,38
2023-12-09,North East,OH Region,121,2023-2024,5,11
2023-12-09,North West,OH Region,26,2023-2024,0,0
2023-12-09,Ontario,Province,1593,2023-2024,154,229
2023-12-09,Toronto,OH Region,383,2023-2024,47,50
2023-12-09,West,OH Region,412,2023-2024,33,77
2023-12-02,Central,OH Region,370,2023-2024,26,64
2023-12-02,East,OH Region,378,2023-2024,12,39
2023-12-02,North East,OH Region,152,2023-2024,0,7
2023-12-02,North West,OH Region,38,2023-2024,0,0
2023-12-02,Ontario,Province,1753,2023-2024,86,229
2023-12-02,Toronto,OH Region,406,2023-2024,28,43
2023-12-02,West,OH Region,395,2023-2024,19,75
2023-11-25,Central,OH Region,342,2023-2024,18,42
2023-11-25,East,OH Region,388,2023-2024,5,37
2023-11-25,North East,OH Region,157,2023-2024,1,5
2023-11-25,North West,OH Region,40,2023-2024,0,0
2023-11-25,Ontario,Province,1684,2023-2024,63,203
2023-11-25,Toronto,OH Region,359,2023-2024,18,44
2023-11-25,West,OH Region,388,2023-2024,20,77
2023-11-18,Central,OH Region,263,2023-2024,10,45
2023-11-18,East,OH Region,348,2023-2024,3,30
2023-11-18,North East,OH Region,127,2023-2024,4,5
2023-11-18,North West,OH Region,25,2023-2024,0,0
2023-11-18,Ontario,Province,1337,2023-2024,48,165
2023-11-18,Toronto,OH Region,263,2023-2024,15,36
2023-11-18,West,OH Region,305,2023-2024,15,48
2023-11-11,Central,OH Region,188,2023-2024,7,32
2023-11-11,East,OH Region,314,2023-2024,1,30
2023-11-11,North East,OH Region,129,2023-2024,0,1
2023-11-11,North West,OH Region,35,2023-2024,0,0
2023-11-11,Ontario,Province,1150,2023-2024,27,132
2023-11-11,Toronto,OH Region,218,2023-2024,10,31
2023-11-11,West,OH Region,259,2023-2024,8,37
2023-11-04,Central,OH Region,192,2023-2024,5,25
2023-11-04,East,OH Region,263,2023-2024,0,25
2023-11-04,North East,OH Region,112,2023-2024,1,1
2023-11-04,North West,OH Region,38,2023-2024,0,0
2023-11-04,Ontario,Province,1110,2023-2024,20,106
2023-11-04,Toronto,OH Region,216,2023-2024,7,26
2023-11-04,West,OH Region,276,2023-2024,8,27
2023-10-28,Central,OH Region,196,2023-2024,2,21
2023-10-28,East,OH Region,280,2023-2024,1,22
2023-10-28,North East,OH Region,92,2023-2024,0,1
2023-10-28,North West,OH Region,34,2023-2024,0,0
2023-10-28,Ontario,Province,1126,2023-2024,22,85
2023-10-28,Toronto,OH Region,202,2023-2024,5,16
2023-10-28,West,OH Region,310,2023-2024,12,23
2023-10-21,Central,OH Region,168,2023-2024,2,13
2023-10-21,East,OH Region,240,2023-2024,1,18
2023-10-21,North East,OH Region,81,2023-2024,0,1
2023-10-21,North West,OH Region,17,2023-2024,0,0
2023-10-21,Ontario,Province,1008,2023-2024,18,62
2023-10-21,Toronto,OH Region,189,2023-2024,3,9
2023-10-21,West,OH Region,314,2023-2024,11,19
2023-10-14,Central,OH Region,192,2023-2024,2,9
2023-10-14,East,OH Region,221,2023-2024,1,11
2023-10-14,North East,OH Region,73,2023-2024,1,0
2023-10-14,North West,OH Region,12,2023-2024,0,0
2023-10-14,Ontario,Province,1040,2023-2024,13,46
2023-10-14,Toronto,OH Region,215,2023-2024,2,7
2023-10-14,West,OH Region,332,2023-2024,7,17
2023-10-07,Central,OH Region,248,2023-2024,0,5
2023-10-07,East,OH Region,228,2023-2024,0,10
2023-10-07,North East,OH Region,62,2023-2024,0,0
2023-10-07,North West,OH Region,19,2023-2024,0,0
2023-10-07,Ontario,Province,1139,2023-2024,11,37
2023-10-07,Toronto,OH Region,221,2023-2024,4,7
2023-10-07,West,OH Region,363,2023-2024,6,14
2023-09-30,Central,OH Region,200,2023-2024,3,6
2023-09-30,East,OH Region,214,2023-2024,0,8
2023-09-30,North East,OH Region,34,2023-2024,0,0
2023-09-30,North West,OH Region,17,2023-2024,0,0
2023-09-30,Ontario,Province,986,2023-2024,13,34
2023-09-30,Toronto,OH Region,187,2023-2024,5,9
2023-09-30,West,OH Region,332,2023-2024,5,11
2023-09-23,Central,OH Region,144,2023-2024,3,3
2023-09-23,East,OH Region,170,2023-2024,0,5
2023-09-23,North East,OH Region,40,2023-2024,0,0
2023-09-23,North West,OH Region,18,2023-2024,0,0
2023-09-23,Ontario,Province,787,2023-2024,14,24
2023-09-23,Toronto,OH Region,142,2023-2024,3,6
2023-09-23,West,OH Region,271,2023-2024,8,8
2023-09-16,Central,OH Region,139,2023-2024,2,2
2023-09-16,East,OH Region,147,2023-2024,0,5
2023-09-16,North East,OH Region,38,2023-2024,0,0
2023-09-16,North West,OH Region,24,2023-2024,0,1
2023-09-16,Ontario,Province,651,2023-2024,13,23
2023-09-16,Toronto,OH Region,119,2023-2024,2,5
2023-09-16,West,OH Region,185,2023-2024,9,11
2023-09-09,Central,OH Region,146,2023-2024,2,3
2023-09-09,East,OH Region,139,2023-2024,0,3
2023-09-09,North East,OH Region,22,2023-2024,0,0
2023-09-09,North West,OH Region,24,2023-2024,0,1
2023-09-09,Ontario,Province,580,2023-2024,15,20
2023-09-09,Toronto,OH Region,99,2023-2024,4,2
2023-09-09,West,OH Region,151,2023-2024,7,10
2023-09-02,Central,OH Region,106,2023-2024,5,2
2023-09-02,East,OH Region,141,2023-2024,2,2
2023-09-02,North East,OH Region,25,2023-2024,0,0
2023-09-02,North West,OH Region,13,2023-2024,0,0
2023-09-02,Ontario,Province,525,2023-2024,18,13
2023-09-02,Toronto,OH Region,86,2023-2024,3,1
2023-09-02,West,OH Region,152,2023-2024,8,6
2023-08-26,Central,OH Region,87,2022-2023,5,2
2023-08-26,East,OH Region,119,2022-2023,1,3
2023-08-26,North East,OH Region,27,2022-2023,0,0
2023-08-26,North West,OH Region,9,2022-2023,0,0
2023-08-26,Ontario,Province,437,2022-2023,17,15
2023-08-26,Toronto,OH Region,75,2022-2023,2,1
2023-08-26,West,OH Region,121,2022-2023,9,9
2023-08-19,Central,OH Region,61,2022-2023,2,1
2023-08-19,East,OH Region,87,2022-2023,0,3
2023-08-19,North East,OH Region,23,2022-2023,0,0
2023-08-19,North West,OH Region,2,2022-2023,0,0
2023-08-19,Ontario,Province,328,2022-2023,12,12
2023-08-19,Toronto,OH Region,65,2022-2023,3,0
2023-08-19,West,OH Region,88,2022-2023,7,9
2023-08-12,Central,OH Region,43,2022-2023,1,3
2023-08-12,East,OH Region,43,2022-2023,1,3
2023-08-12,North East,OH Region,20,2022-2023,0,0
2023-08-12,North West,OH Region,4,2022-2023,0,0
2023-08-12,Ontario,Province,252,2022-2023,14,18
2023-08-12,Toronto,OH Region,69,2022-2023,6,0
2023-08-12,West,OH Region,70,2022-2023,6,12
2023-08-05,Central,OH Region,49,2022-2023,2,2
2023-08-05,East,OH Region,28,2022-2023,0,2
2023-08-05,North East,OH Region,13,2022-2023,0,0
2023-08-05,North West,OH Region,7,2022-2023,0,0
2023-08-05,Ontario,Province,239,2022-2023,12,18
2023-08-05,Toronto,OH Region,65,2022-2023,2,1
2023-08-05,West,OH Region,77,2022-2023,7,12
2023-07-29,Central,OH Region,43,2022-2023,1,1
2023-07-29,East,OH Region,25,2022-2023,0,2
2023-07-29,North East,OH Region,12,2022-2023,0,0
2023-07-29,North West,OH Region,16,2022-2023,0,0
2023-07-29,Ontario,Province,246,2022-2023,15,16
2023-07-29,Toronto,OH Region,59,2022-2023,3,1
2023-07-29,West,OH Region,92,2022-2023,11,11
2023-07-22,Central,OH Region,40,2022-2023,0,3
2023-07-22,East,OH Region,33,2022-2023,0,1
2023-07-22,North East,OH Region,10,2022-2023,0,0
2023-07-22,North West,OH Region,22,2022-2023,0,0
2023-07-22,Ontario,Province,228,2022-2023,13,17
2023-07-22,Toronto,OH Region,52,2022-2023,2,2
2023-07-22,West,OH Region,71,2022-2023,10,10
2023-07-15,Central,OH Region,35,2022-2023,1,1
2023-07-15,East,OH Region,33,2022-2023,0,0
2023-07-15,North East,OH Region,9,2022-2023,0,1
2023-07-15,North West,OH Region,10,2022-2023,0,0
2023-07-15,Ontario,Province,217,2022-2023,16,14
2023-07-15,Toronto,OH Region,49,2022-2023,4,1
2023-07-15,West,OH Region,81,2022-2023,11,11
2023-07-08,Central,OH Region,36,2022-2023,2,0
2023-07-08,East,OH Region,28,2022-2023,0,0
2023-07-08,North East,OH Region,7,2022-2023,0,0
2023-07-08,North West,OH Region,6,2022-2023,0,0
2023-07-08,Ontario,Province,203,2022-2023,17,14
2023-07-08,Toronto,OH Region,54,2022-2023,1,0
2023-07-08,West,OH Region,71,2022-2023,14,13
2023-07-01,Central,OH Region,36,2022-2023,3,0
2023-07-01,East,OH Region,30,2022-2023,0,0
2023-07-01,North East,OH Region,11,2022-2023,0,0
2023-07-01,North West,OH Region,8,2022-2023,0,0
2023-07-01,Ontario,Province,214,2022-2023,18,12
2023-07-01,Toronto,OH Region,60,2022-2023,4,0
2023-07-01,West,OH Region,71,2022-2023,10,11
2023-06-24,Central,OH Region,43,2022-2023,3,1
2023-06-24,East,OH Region,47,2022-2023,0,0
2023-06-24,North East,OH Region,8,2022-2023,0,1
2023-06-24,North West,OH Region,4,2022-2023,0,0
2023-06-24,Ontario,Province,238,2022-2023,22,19
2023-06-24,Toronto,OH Region,61,2022-2023,4,2
2023-06-24,West,OH Region,76,2022-2023,14,15
2023-06-17,Central,OH Region,66,2022-2023,3,2
2023-06-17,East,OH Region,43,2022-2023,0,0
2023-06-17,North East,OH Region,13,2022-2023,0,0
2023-06-17,North West,OH Region,6,2022-2023,0,0
2023-06-17,Ontario,Province,282,2022-2023,23,19
2023-06-17,Toronto,OH Region,64,2022-2023,5,0
2023-06-17,West,OH Region,91,2022-2023,14,16
2023-06-10,Central,OH Region,81,2022-2023,6,1
2023-06-10,East,OH Region,57,2022-2023,0,0
2023-06-10,North East,OH Region,15,2022-2023,0,0
2023-06-10,North West,OH Region,6,2022-2023,0,0
2023-06-10,Ontario,Province,363,2022-2023,28,14
2023-06-10,Toronto,OH Region,89,2022-2023,7,0
2023-06-10,West,OH Region,112,2022-2023,14,13
2023-06-03,Central,OH Region,90,2022-2023,6,1
2023-06-03,East,OH Region,70,2022-2023,1,0
2023-06-03,North East,OH Region,25,2022-2023,0,0
2023-06-03,North West,OH Region,5,2022-2023,0,0
2023-06-03,Ontario,Province,443,2022-2023,29,17
2023-06-03,Toronto,OH Region,119,2022-2023,9,1
2023-06-03,West,OH Region,132,2022-2023,13,14
2023-05-27,Central,OH Region,97,2022-2023,6,2
2023-05-27,East,OH Region,55,2022-2023,3,0
2023-05-27,North East,OH Region,17,2022-2023,0,1
2023-05-27,North West,OH Region,7,2022-2023,0,0
2023-05-27,Ontario,Province,406,2022-2023,36,23
2023-05-27,Toronto,OH Region,101,2022-2023,6,3
2023-05-27,West,OH Region,128,2022-2023,21,16
2023-05-20,Central,OH Region,120,2022-2023,6,3
2023-05-20,East,OH Region,55,2022-2023,4,0
2023-05-20,North East,OH Region,28,2022-2023,0,0
2023-05-20,North West,OH Region,12,2022-2023,0,0
2023-05-20,Ontario,Province,430,2022-2023,33,25
2023-05-20,Toronto,OH Region,102,2022-2023,9,8
2023-05-20,West,OH Region,113,2022-2023,14,13
2023-05-13,Central,OH Region,102,2022-2023,4,3
2023-05-13,East,OH Region,71,2022-2023,2,2
2023-05-13,North East,OH Region,30,2022-2023,0,0
2023-05-13,North West,OH Region,8,2022-2023,0,0
2023-05-13,Ontario,Province,448,2022-2023,34,24
2023-05-13,Toronto,OH Region,108,2022-2023,13,4
2023-05-13,West,OH Region,129,2022-2023,14,13
2023-05-06,Central,OH Region,101,2022-2023,7,2
2023-05-06,East,OH Region,91,2022-2023,2,2
2023-05-06,North East,OH Region,30,2022-2023,0,1
2023-05-06,North West,OH Region,14,2022-2023,0,0
2023-05-06,Ontario,Province,480,2022-2023,40,27
2023-05-06,Toronto,OH Region,113,2022-2023,13,7
2023-05-06,West,OH Region,131,2022-2023,17,14
2023-04-29,Central,OH Region,133,2022-2023,8,2
2023-04-29,East,OH Region,111,2022-2023,3,0
2023-04-29,North East,OH Region,29,2022-2023,0,0
2023-04-29,North West,OH Region,14,2022-2023,0,0
2023-04-29,Ontario,Province,575,2022-2023,36,22
2023-04-29,Toronto,OH Region,140,2022-2023,11,5
2023-04-29,West,OH Region,147,2022-2023,13,13
2023-04-22,Central,OH Region,169,2022-2023,8,4
2023-04-22,East,OH Region,124,2022-2023,4,1
2023-04-22,North East,OH Region,31,2022-2023,0,0
2023-04-22,North West,OH Region,14,2022-2023,0,0
2023-04-22,Ontario,Province,693,2022-2023,39,28
2023-04-22,Toronto,OH Region,172,2022-2023,9,6
2023-04-22,West,OH Region,184,2022-2023,18,14
2023-04-15,Central,OH Region,163,2022-2023,8,1
2023-04-15,East,OH Region,129,2022-2023,3,3
2023-04-15,North East,OH Region,34,2022-2023,0,4
2023-04-15,North West,OH Region,13,2022-2023,0,0
2023-04-15,Ontario,Province,745,2022-2023,40,33
2023-04-15,Toronto,OH Region,183,2022-2023,8,6
2023-04-15,West,OH Region,222,2022-2023,20,18
2023-04-08,Central,OH Region,152,2022-2023,10,3
2023-04-08,East,OH Region,153,2022-2023,2,5
2023-04-08,North East,OH Region,39,2022-2023,0,1
2023-04-08,North West,OH Region,18,2022-2023,0,1
2023-04-08,Ontario,Province,767,2022-2023,41,33
2023-04-08,Toronto,OH Region,146,2022-2023,7,4
2023-04-08,West,OH Region,258,2022-2023,18,18
2023-04-01,Central,OH Region,144,2022-2023,8,8
2023-04-01,East,OH Region,152,2022-2023,3,4
2023-04-01,North East,OH Region,38,2022-2023,0,2
2023-04-01,North West,OH Region,17,2022-2023,0,1
2023-04-01,Ontario,Province,748,2022-2023,38,44
2023-04-01,Toronto,OH Region,141,2022-2023,10,7
2023-04-01,West,OH Region,253,2022-2023,16,22
2023-03-25,Central,OH Region,145,2022-2023,7,4
2023-03-25,East,OH Region,175,2022-2023,5,5
2023-03-25,North East,OH Region,48,2022-2023,2,3
2023-03-25,North West,OH Region,21,2022-2023,0,1
2023-03-25,Ontario,Province,797,2022-2023,43,45
2023-03-25,Toronto,OH Region,158,2022-2023,11,8
2023-03-25,West,OH Region,243,2022-2023,16,25
2023-03-18,Central,OH Region,139,2022-2023,5,6
2023-03-18,East,OH Region,186,2022-2023,4,5
2023-03-18,North East,OH Region,57,2022-2023,1,3
2023-03-18,North West,OH Region,17,2022-2023,0,2
2023-03-18,Ontario,Province,833,2022-2023,46,56
2023-03-18,Toronto,OH Region,176,2022-2023,15,11
2023-03-18,West,OH Region,251,2022-2023,20,30
2023-03-11,Central,OH Region,160,2022-2023,4,9
2023-03-11,East,OH Region,210,2022-2023,4,11
2023-03-11,North East,OH Region,62,2022-2023,0,5
2023-03-11,North West,OH Region,22,2022-2023,0,3
2023-03-11,Ontario,Province,928,2022-2023,47,77
2023-03-11,Toronto,OH Region,183,2022-2023,14,11
2023-03-11,West,OH Region,285,2022-2023,24,38
2023-03-04,Central,OH Region,169,2022-2023,5,9
2023-03-04,East,OH Region,225,2022-2023,6,12
2023-03-04,North East,OH Region,85,2022-2023,0,8
2023-03-04,North West,OH Region,16,2022-2023,4,3
2023-03-04,Ontario,Province,1008,2022-2023,45,81
2023-03-04,Toronto,OH Region,187,2022-2023,7,13
2023-03-04,West,OH Region,320,2022-2023,22,36
2023-02-25,Central,OH Region,195,2022-2023,7,11
2023-02-25,East,OH Region,217,2022-2023,5,14
2023-02-25,North East,OH Region,90,2022-2023,0,5
2023-02-25,North West,OH Region,16,2022-2023,0,1
2023-02-25,Ontario,Province,991,2022-2023,35,78
2023-02-25,Toronto,OH Region,173,2022-2023,3,15
2023-02-25,West,OH Region,296,2022-2023,20,34
2023-02-18,Central,OH Region,233,2022-2023,7,7
2023-02-18,East,OH Region,191,2022-2023,6,16
2023-02-18,North East,OH Region,88,2022-2023,0,7
2023-02-18,North West,OH Region,18,2022-2023,0,3
2023-02-18,Ontario,Province,1004,2022-2023,41,98
2023-02-18,Toronto,OH Region,189,2022-2023,2,19
2023-02-18,West,OH Region,284,2022-2023,24,47
2023-02-11,Central,OH Region,233,2022-2023,5,16
2023-02-11,East,OH Region,201,2022-2023,7,17
2023-02-11,North East,OH Region,83,2022-2023,1,9
2023-02-11,North West,OH Region,22,2022-2023,0,4
2023-02-11,Ontario,Province,1038,2022-2023,52,119
2023-02-11,Toronto,OH Region,220,2022-2023,6,23
2023-02-11,West,OH Region,279,2022-2023,30,50
2023-02-04,Central,OH Region,233,2022-2023,5,30
2023-02-04,East,OH Region,194,2022-2023,8,26
2023-02-04,North East,OH Region,74,2022-2023,1,8
2023-02-04,North West,OH Region,29,2022-2023,0,4
2023-02-04,Ontario,Province,1108,2022-2023,58,156
2023-02-04,Toronto,OH Region,255,2022-2023,12,25
2023-02-04,West,OH Region,318,2022-2023,31,61
2023-01-28,Central,OH Region,232,2022-2023,11,37
2023-01-28,East,OH Region,219,2022-2023,11,33
2023-01-28,North East,OH Region,66,2022-2023,2,9
2023-01-28,North West,OH Region,37,2022-2023,0,7
2023-01-28,Ontario,Province,1181,2022-2023,71,191
2023-01-28,Toronto,OH Region,276,2022-2023,12,23
