time,geo_value,geo_type,covid,Season,flu,rsv
2025-07-26,Toronto,OH Region,26,2024-2025,1,2
2025-07-26,West,OH Region,20,2024-2025,2,0
2025-07-19,Central,OH Region,23,2024-2025,1,0
2025-07-19,East,OH Region,11,2024-2025,0,0
2025-07-19,North East,OH Region,2,2024-2025,0,0
2025-07-19,North West,OH Region,0,2024-2025,0,0
2025-07-19,Ontario,Province,88,2024-2025,4,3
2025-07-19,Toronto,OH Region,28,2024-2025,1,2
2025-07-19,West,OH Region,25,2024-2025,2,0
2025-07-12,Central,OH Region,21,2024-2025,2,0
2025-07-12,East,OH Region,12,2024-2025,0,0
2025-07-12,North East,OH Region,1,2024-2025,0,0
2025-07-12,North West,OH Region,0,2024-2025,0,0
2025-07-12,Ontario,Province,82,2024-2025,5,2
2025-07-12,Toronto,OH Region,25,2024-2025,1,2
2025-07-12,West,OH Region,22,2024-2025,1,0
2025-07-05,Central,OH Region,19,2024-2025,6,1
2025-07-05,East,OH Region,11,2024-2025,1,0
2025-07-05,North East,OH Region,3,2024-2025,0,0
2025-07-05,North West,OH Region,0,2024-2025,0,0
2025-07-05,Ontario,Province,83,2024-2025,12,4
2025-07-05,Toronto,OH Region,19,2024-2025,4,2
2025-07-05,West,OH Region,30,2024-2025,1,0
2025-06-28,Central,OH Region,18,2024-2025,7,1
2025-06-28,East,OH Region,15,2024-2025,1,0
2025-06-28,North East,OH Region,6,2024-2025,0,0
2025-06-28,North West,OH Region,0,2024-2025,1,0
2025-06-28,Ontario,Province,92,2024-2025,15,5
2025-06-28,Toronto,OH Region,21,2024-2025,1,2
2025-06-28,West,OH Region,34,2024-2025,3,2
2025-06-21,Central,OH Region,16,2024-2025,2,2
2025-06-21,East,OH Region,17,2024-2025,2,0
2025-06-21,North East,OH Region,2,2024-2025,0,0
2025-06-21,North West,OH Region,1,2024-2025,1,0
2025-06-21,Ontario,Province,83,2024-2025,11,8
2025-06-21,Toronto,OH Region,26,2024-2025,2,2
2025-06-21,West,OH Region,22,2024-2025,3,4
2025-06-14,Central,OH Region,25,2024-2025,7,3
2025-06-14,East,OH Region,9,2024-2025,2,0
2025-06-14,North East,OH Region,3,2024-2025,0,0
2025-06-14,North West,OH Region,2,2024-2025,0,0
2025-06-14,Ontario,Province,101,2024-2025,20,6
2025-06-14,Toronto,OH Region,40,2024-2025,4,2
2025-06-14,West,OH Region,22,2024-2025,6,1
2025-06-07,Central,OH Region,21,2024-2025,5,1
2025-06-07,East,OH Region,10,2024-2025,4,1
2025-06-07,North East,OH Region,7,2024-2025,0,0
2025-06-07,North West,OH Region,0,2024-2025,0,0
2025-06-07,Ontario,Province,80,2024-2025,20,9
2025-06-07,Toronto,OH Region,24,2024-2025,5,5
2025-06-07,West,OH Region,15,2024-2025,5,2
2025-05-31,Central,OH Region,17,2024-2025,8,4
2025-05-31,East,OH Region,14,2024-2025,6,2
2025-05-31,North East,OH Region,2,2024-2025,0,0
2025-05-31,North West,OH Region,0,2024-2025,0,0
2025-05-31,Ontario,Province,70,2024-2025,30,16
2025-05-31,Toronto,OH Region,17,2024-2025,10,8
2025-05-31,West,OH Region,19,2024-2025,8,1
2025-05-24,Central,OH Region,20,2024-2025,5,4
2025-05-24,East,OH Region,17,2024-2025,8,5
2025-05-24,North East,OH Region,4,2024-2025,0,0
2025-05-24,North West,OH Region,3,2024-2025,1,0
2025-05-24,Ontario,Province,79,2024-2025,45,55
2025-05-24,Toronto,OH Region,17,2024-2025,21,9
2025-05-24,West,OH Region,18,2024-2025,9,35
2025-05-17,Central,OH Region,24,2024-2025,12,4
2025-05-17,East,OH Region,14,2024-2025,10,5
2025-05-17,North East,OH Region,5,2024-2025,2,0
2025-05-17,North West,OH Region,2,2024-2025,0,0
2025-05-17,Ontario,Province,93,2024-2025,64,25
2025-05-17,Toronto,OH Region,28,2024-2025,26,10
2025-05-17,West,OH Region,16,2024-2025,14,6
2025-05-10,Central,OH Region,26,2024-2025,20,3
2025-05-10,East,OH Region,19,2024-2025,17,6
2025-05-10,North East,OH Region,6,2024-2025,4,0
2025-05-10,North West,OH Region,0,2024-2025,0,0
2025-05-10,Ontario,Province,113,2024-2025,87,22
2025-05-10,Toronto,OH Region,33,2024-2025,24,9
2025-05-10,West,OH Region,28,2024-2025,21,2
2025-05-03,Central,OH Region,28,2024-2025,28,2
2025-05-03,East,OH Region,23,2024-2025,24,9
2025-05-03,North East,OH Region,9,2024-2025,3,0
2025-05-03,North West,OH Region,1,2024-2025,0,1
2025-05-03,Ontario,Province,111,2024-2025,105,29
2025-05-03,Toronto,OH Region,27,2024-2025,25,13
2025-05-03,West,OH Region,24,2024-2025,23,2
2025-04-26,Central,OH Region,30,2024-2025,36,3
2025-04-26,East,OH Region,35,2024-2025,27,8
2025-04-26,North East,OH Region,4,2024-2025,4,0
2025-04-26,North West,OH Region,0,2024-2025,1,2
2025-04-26,Ontario,Province,131,2024-2025,135,30
