time,geo_value,geo_type,covid
2020-03-14,North East,OH Region,0
2020-03-14,North West,OH Region,0
2020-03-14,Ontario,Province,0
2020-03-14,Toronto,OH Region,0
2020-03-14,West,OH Region,0
2020-03-07,Central,OH Region,0
2020-03-07,East,OH Region,0
2020-03-07,North East,OH Region,0
2020-03-07,North West,OH Region,0
2020-03-07,Ontario,Province,0
2020-03-07,Toronto,OH Region,0
2020-03-07,West,OH Region,0
2020-02-29,Central,OH Region,0
2020-02-29,East,OH Region,0
2020-02-29,North East,OH Region,0
2020-02-29,North West,OH Region,0
2020-02-29,Ontario,Province,0
2020-02-29,Toronto,OH Region,0
2020-02-29,West,OH Region,0
2020-02-22,Central,OH Region,0
2020-02-22,East,OH Region,0
2020-02-22,North East,OH Region,0
2020-02-22,North West,OH Region,0
2020-02-22,Ontario,Province,0
2020-02-22,Toronto,OH Region,0
2020-02-22,West,OH Region,0
2020-02-15,Central,OH Region,0
2020-02-15,East,OH Region,0
2020-02-15,North East,OH Region,0
2020-02-15,North West,OH Region,0
2020-02-15,Ontario,Province,0
2020-02-15,Toronto,OH Region,0
2020-02-15,West,OH Region,0
2020-02-08,Central,OH Region,0
2020-02-08,East,OH Region,0
2020-02-08,North East,OH Region,0
2020-02-08,North West,OH Region,0
2020-02-08,Ontario,Province,0
2020-02-08,Toronto,OH Region,0
2020-02-08,West,OH Region,0
2020-02-01,Central,OH Region,0
2020-02-01,East,OH Region,0
2020-02-01,North East,OH Region,0
2020-02-01,North West,OH Region,0
2020-02-01,Ontario,Province,0
2020-02-01,Toronto,OH Region,0
2020-02-01,West,OH Region,0
2020-01-25,Central,OH Region,0
2020-01-25,East,OH Region,0
2020-01-25,North East,OH Region,0
2020-01-25,North West,OH Region,0
2020-01-25,Ontario,Province,0
2020-01-25,Toronto,OH Region,0
2020-01-25,West,OH Region,0
2020-01-18,Central,OH Region,0
2020-01-18,East,OH Region,0
2020-01-18,North East,OH Region,0
2020-01-18,North West,OH Region,0
2020-01-18,Ontario,Province,0
2020-01-18,Toronto,OH Region,0
2020-01-18,West,OH Region,0
2020-01-11,Central,OH Region,0
2020-01-11,East,OH Region,0
2020-01-11,North East,OH Region,0
2020-01-11,North West,OH Region,0
2020-01-11,Ontario,Province,0
2020-01-11,Toronto,OH Region,0
2020-01-11,West,OH Region,0
2020-01-04,Central,OH Region,0
2020-01-04,East,OH Region,0
2020-01-04,North East,OH Region,0
2020-01-04,North West,OH Region,0
2020-01-04,Ontario,Province,0
2020-01-04,Toronto,OH Region,0
2020-01-04,West,OH Region,0
2019-12-28,Central,OH Region,0
2019-12-28,East,OH Region,0
2019-12-28,North East,OH Region,0
2019-12-28,North West,OH Region,0
2019-12-28,Ontario,Province,0
2019-12-28,Toronto,OH Region,0
2019-12-28,West,OH Region,0
2019-12-21,Central,OH Region,0
2019-12-21,East,OH Region,0
2019-12-21,North East,OH Region,0
2019-12-21,North West,OH Region,0
2019-12-21,Ontario,Province,0
2019-12-21,Toronto,OH Region,0
2019-12-21,West,OH Region,0
2019-12-14,Central,OH Region,0
2019-12-14,East,OH Region,0
2019-12-14,North East,OH Region,0
2019-12-14,North West,OH Region,0
2019-12-14,Ontario,Province,0
2019-12-14,Toronto,OH Region,0
2019-12-14,West,OH Region,0
2019-12-07,Central,OH Region,0
2019-12-07,East,OH Region,0
2019-12-07,North East,OH Region,0
2019-12-07,North West,OH Region,0
2019-12-07,Ontario,Province,0
2019-12-07,Toronto,OH Region,0
2019-12-07,West,OH Region,0
2019-11-30,Central,OH Region,0
2019-11-30,East,OH Region,0
2019-11-30,North East,OH Region,0
2019-11-30,North West,OH Region,0
2019-11-30,Ontario,Province,0
2019-11-30,Toronto,OH Region,0
2019-11-30,West,OH Region,0
2019-11-23,Central,OH Region,0
2019-11-23,East,OH Region,0
2019-11-23,North East,OH Region,0
2019-11-23,North West,OH Region,0
2019-11-23,Ontario,Province,0
2019-11-23,Toronto,OH Region,0
2019-11-23,West,OH Region,0
2019-11-16,Central,OH Region,0
2019-11-16,East,OH Region,0
2019-11-16,North East,OH Region,0
2019-11-16,North West,OH Region,0
2019-11-16,Ontario,Province,0
2019-11-16,Toronto,OH Region,0
2019-11-16,West,OH Region,0
2019-11-09,Central,OH Region,0
2019-11-09,East,OH Region,0
2019-11-09,North East,OH Region,0
2019-11-09,North West,OH Region,0
2019-11-09,Ontario,Province,0
2019-11-09,Toronto,OH Region,0
2019-11-09,West,OH Region,0
2019-11-02,Central,OH Region,0
2019-11-02,East,OH Region,0
2019-11-02,North East,OH Region,0
2019-11-02,North West,OH Region,0
2019-11-02,Ontario,Province,0
2019-11-02,Toronto,OH Region,0
2019-11-02,West,OH Region,0
2019-10-26,Central,OH Region,0
2019-10-26,East,OH Region,0
2019-10-26,North East,OH Region,0
2019-10-26,North West,OH Region,0
2019-10-26,Ontario,Province,0
2019-10-26,Toronto,OH Region,0
2019-10-26,West,OH Region,0
2019-10-19,Central,OH Region,0
2019-10-19,East,OH Region,0
2019-10-19,North East,OH Region,0
2019-10-19,North West,OH Region,0
2019-10-19,Ontario,Province,0
2019-10-19,Toronto,OH Region,0
2019-10-19,West,OH Region,0
2019-10-12,Central,OH Region,0
2019-10-12,East,OH Region,0
2019-10-12,North East,OH Region,0
2019-10-12,North West,OH Region,0
2019-10-12,Ontario,Province,0
2019-10-12,Toronto,OH Region,0
2019-10-12,West,OH Region,0
2019-10-05,Central,OH Region,0
2019-10-05,East,OH Region,0
2019-10-05,North East,OH Region,0
2019-10-05,North West,OH Region,0
2019-10-05,Ontario,Province,0
2019-10-05,Toronto,OH Region,0
2019-10-05,West,OH Region,0
2019-09-28,Central,OH Region,0
2019-09-28,East,OH Region,0
2019-09-28,North East,OH Region,0
2019-09-28,North West,OH Region,0
2019-09-28,Ontario,Province,0
2019-09-28,Toronto,OH Region,0
2019-09-28,West,OH Region,0
2019-09-21,Central,OH Region,0
2019-09-21,East,OH Region,0
2019-09-21,North East,OH Region,0
2019-09-21,North West,OH Region,0
2019-09-21,Ontario,Province,0
2019-09-21,Toronto,OH Region,0
2019-09-21,West,OH Region,0
2019-09-14,Central,OH Region,0
2019-09-14,East,OH Region,0
2019-09-14,North East,OH Region,0
2019-09-14,North West,OH Region,0
2019-09-14,Ontario,Province,0
2019-09-14,Toronto,OH Region,0
2019-09-14,West,OH Region,0
2019-09-07,Central,OH Region,0
2019-09-07,East,OH Region,0
2019-09-07,North East,OH Region,0
2019-09-07,North West,OH Region,0
2019-09-07,Ontario,Province,0
2019-09-07,Toronto,OH Region,0
2019-09-07,West,OH Region,0
2019-08-31,Central,OH Region,0
2019-08-31,East,OH Region,0
2019-08-31,North East,OH Region,0
2019-08-31,North West,OH Region,0
2019-08-31,Ontario,Province,0
2019-08-31,Toronto,OH Region,0
2019-08-31,West,OH Region,0
