time,geo_value,geo_type,covid,flu,rsv
2024-08-24,Central,OH Region,119,1,2
2024-08-24,East,OH Region,167,0,0
2024-08-24,North East,OH Region,46,0,0
2024-08-24,North West,OH Region,14,0,0
2024-08-24,Ontario,Province,684,28,14
2024-08-24,Toronto,OH Region,136,1,2
2024-08-24,West,OH Region,204,26,10
2024-08-17,Central,OH Region,124,2,1
2024-08-17,East,OH Region,157,0,1
2024-08-17,North East,OH Region,46,0,0
2024-08-17,North West,OH Region,9,0,0
2024-08-17,Ontario,Province,627,31,15
2024-08-17,Toronto,OH Region,114,1,2
2024-08-17,West,OH Region,177,28,10
2024-08-10,Central,OH Region,133,1,1
2024-08-10,East,OH Region,150,2,0
2024-08-10,North East,OH Region,18,0,0
2024-08-10,North West,OH Region,7,0,0
2024-08-10,Ontario,Province,530,36,14
2024-08-10,Toronto,OH Region,96,1,1
2024-08-10,West,OH Region,142,31,11
2024-08-03,Central,OH Region,96,0,1
2024-08-03,East,OH Region,138,0,1
2024-08-03,North East,OH Region,10,0,0
2024-08-03,North West,OH Region,16,0,0
2024-08-03,Ontario,Province,454,34,15
2024-08-03,Toronto,OH Region,93,2,2
2024-08-03,West,OH Region,123,30,10
2024-07-27,Central,OH Region,88,0,2
2024-07-27,East,OH Region,225,1,1
2024-07-27,North East,OH Region,17,0,0
2024-07-27,North West,OH Region,19,0,0
2024-07-27,Ontario,Province,440,44,18
2024-07-27,Toronto,OH Region,97,8,3
2024-07-27,West,OH Region,102,34,12
2024-07-20,Central,OH Region,90,3,2
2024-07-20,East,OH Region,129,3,1
2024-07-20,North East,OH Region,24,0,0
2024-07-20,North West,OH Region,19,0,0
2024-07-20,Ontario,Province,442,50,22
2024-07-20,Toronto,OH Region,102,8,2
2024-07-20,West,OH Region,96,35,16
2024-07-13,Central,OH Region,106,4,1
2024-07-13,East,OH Region,92,1,1
2024-07-13,North East,OH Region,19,0,0
2024-07-13,North West,OH Region,10,0,0
2024-07-13,Ontario,Province,423,56,15
2024-07-13,Toronto,OH Region,92,9,3
2024-07-13,West,OH Region,104,40,11
2024-07-06,Central,OH Region,111,4,1
2024-07-06,East,OH Region,72,1,1
2024-07-06,North East,OH Region,18,0,0
2024-07-06,North West,OH Region,4,0,0
2024-07-06,Ontario,Province,378,52,17
2024-07-06,Toronto,OH Region,77,9,2
2024-07-06,West,OH Region,96,38,13
2024-06-29,Central,OH Region,79,2,1
2024-06-29,East,OH Region,75,1,0
2024-06-29,North East,OH Region,22,0,0
2024-06-29,North West,OH Region,3,0,0
2024-06-29,Ontario,Province,358,40,16
2024-06-29,Toronto,OH Region,102,8,2
2024-06-29,West,OH Region,73,28,12
2024-06-22,Central,OH Region,81,2,1
2024-06-22,East,OH Region,79,1,0
2024-06-22,North East,OH Region,22,1,0
2024-06-22,North West,OH Region,4,0,0
2024-06-22,Ontario,Province,330,47,19
2024-06-22,Toronto,OH Region,85,12,4
2024-06-22,West,OH Region,59,30,13
2024-06-15,Central,OH Region,78,3,2
2024-06-15,East,OH Region,70,2,2
2024-06-15,North East,OH Region,17,0,0
2024-06-15,North West,OH Region,5,0,0
2024-06-15,Ontario,Province,315,43,21
2024-06-15,Toronto,OH Region,74,10,4
2024-06-15,West,OH Region,69,28,13
2024-06-08,Central,OH Region,92,3,1
2024-06-08,East,OH Region,75,2,2
2024-06-08,North East,OH Region,22,1,0
2024-06-08,North West,OH Region,9,0,0
2024-06-08,Ontario,Province,350,44,18
2024-06-08,Toronto,OH Region,92,10,3
2024-06-08,West,OH Region,58,27,12
2024-06-01,Central,OH Region,106,4,1
2024-06-01,East,OH Region,64,2,2
2024-06-01,North East,OH Region,30,0,0
2024-06-01,North West,OH Region,8,2,0
2024-06-01,Ontario,Province,350,46,16
2024-06-01,Toronto,OH Region,93,12,3
2024-06-01,West,OH Region,49,26,8
2024-05-25,Central,OH Region,110,7,1
2024-05-25,East,OH Region,83,3,1
